"data","label"
"Không gửi được video cho mà xem","0"
"Mạng wifi chập chờn","0"
"Máy mạng rất yếu,mua con này vì máy cũ là vivo y15s mà mạng rất mạnh dù ở nơi sóng yếu mạng cũng OK coi video phim gì cũng kg bị ngắt dừng còn máy này vivo 19s mà mạng rất yếu dù ở nơi sóng mạnh tốt mà xem phim là bị ngắt","0"
"Thỉnh thoảng hay bị đứng máy,phải tắt rồi mở lên lại mới hoạt động đc.","0"
"Điện thoại bắt sóng wifi quá yếu. Sử dụng Facebook và Zalo giật hoài","0"
"Công nhận máy Sài xướng thật puay video rất tuyệt vời","1"
"Máy dùng rất tệ.0 như lời quảng cáo của nhân viên.","0"
"Máy màn hình sáng , loa to, xài thấy ok màu máy lại đẹp nữa","1"
"Sản phẩm rất OK nha","1"
"","1"
"","1"
