"data","label"
"Đơ, tự động reset lại","0"
"Mình mua ởThế Giới Di Động 688 Lê Đức Thọ Địa chỉ 688 Lê Đức Thọ, Phường 15, Quận Gò Vấp, Thành phố Hồ Chí Minh Và cảm nhận rất tệMua vào ngày 6/7 đên ngày 13/7 sau 1 tuần sử dụng thì xuất hiện vài lỗ về cảm ứng và ứng dụng tự khởi chạy...khi mang qua cửa hàng thì câu chuyện như sauLần 1 ngày 13/7...nhân viên tên KIM ANH thái độ rất lồi lõm nói chuyện mà Ừ Ừ liên tục...sau đó cập nhật điện thoại và nói về dùng 1 tuần nếu không hết lỗi mang qua quản lý giải quyết và yêu cầu có video hoặc ảnh chụp màn hình để giải quyết.Lần 2 ngày 20/7 gặp quản lý mình có quay phim và chụp lỗi màn hình..sau 1 hồi cò quay thì ông này nói máy không bị lỗi và dẫn chứng rằngEM DÙNG IPHONE BỊ MẤY LỖI NÀY LÀ BÌNH THƯỜNG..CHÁN LUÔN...và sau đó có nói là đã cho nhân viên chạy tun gì đó từ xa...bảo mình về dùng 23 ngày nếu không hết lỗi thì reset lại máy trắng..nếu không hết lỗi thì mang đi kiểm định chuyên sâu hơn 1 tuầnKết quả mình cầm máy lỗi về và không bao giờ mua hàng ở TDGD nữaQuá thất vọng về số tiền bỏ ra và thái độ của nhân viên","0"
"Quá tệ pin sau 2 tháng sử dụng pin tụt nhanh như tụt quần, đã tắt hết ứng dụng chạy ngầm ,để qua đêm 38% đến sáng còn 9%","0"
"Ok góp 0đ và 0% shop sôg công nv uy tín nhanh gọn lẹMáy xài tuyệt chứ k fai tuyệt vời..ổn trong phân khúc tiền.Lên bản 2 bơ.. 2 0 1 0 2 0 đẹp nhất","1"
"Máy để qua đêm k làm gì mà cũng hao hết 20%pin","0"
"Máy hao pin kính khủng , đơ giật , ko lên đc bản cập nhật mới","0"
"Mình nhận máy hôm 30/10/2024 mình mua dịp sale giá 11tr490. Lần đầu mình dùng hàng Xiaomi, theo cảm nhận riêng của mình, hiệu năng máy chỉ ở mức bình thường 7.5/10 điểm, chụp hình khá ổn 8/10 điểm chụp đêm tốt. Điểm trừ tụt pin khá nhanh mặc dù mình chỉ lướt fb, tiktok. Trung bình mình sạc 2 lần/ngày nhưng hiện tại Pin con máy này còn 98% không biết do máy dỏm hay do mình không biết dùng. Và nhiều khi máy bị đơ, vân tay ra mồ hôi tí là không ăn.","0"
"Ad cho hỏi bao giờ có bản cập nhật HyperOS 2.0 trên mi 14T vậy, cảm ơn","1"
"Điện thoại tạm ổn hơi nhanh hết pin mặc dù pin 5000. Các bạn nhân viên không nhiệt tình thu tiền được rồi là đi mất để mặc khách hàng làm gì thì làm. Thái độ nhân viên càng ngày càng tệ mua hàng ở hệ thống từ lúc mới ra tới giờ nhưng lần này hơi thất vọng.","0"
"Tôi có chụp ảnh ban đêm với máy phải ngon ok phết.","1"
"Ổn trong tầm giá, cam đẹp dùng các tác vụ cơ bản và game thấy OK","1"
"Trước khi mua máy này mình có xem review và cmt của các người dùng đã mua thì bảo là máy nóng và tuột pin nhanh. Mình từng dùng máy ảnh cơ nên khá là thích chế độ chụp chuyên nghiệp trên Xiaomi 14t nên mình vẫn quyết định mua. Sau 2 tuần sử dụng thì mình thấy máy không hề nóng như người ta bảo, pin vẫn đủ cho mình dùng đủ cả ngày24h từ các tác vụ Zalo, fb, và chơi game Draconia saga khoản 3h 1 ngày. Pin sạc cũng khá là nhanh 67w sạc tầm 30 phút cạn pin luôn thì tầm 40 phút. Máy rất là mượt luôn, dung lượng tận 512Gb. Lúc mình mua máy có flashsale giá 11tr990 đã trừ phiếu mua hàng và bao gồm củ sạc Xiaomi 67w. Sản phẩm được bảo hành 2 năm và củ sạc thì 1 năm. Máy trước của mình là samsung không biết độ bền của máy này có giống với Samsung không, nhưng hiện tại hiệu năng mang lại với giá cả thì quá tốt rồi","1"
"Sản phẩm chất lượng trong tầm giá. Mình săn sale bản 12/512 lúc giá còn 12.390.000.Sau 1 tuần sử dụng cảm nhận máy chất lượng,mượt mà,tác vụ nhanh mượt trong tầm giá. Mỗi điều pin tụt hơi nhanh do gánh màn và tần số quét cao.Nhân viên tư vấn,cài đặt nhiệt tình,chu đáo.Hy vọng sớm có bản cập nhật hyper 2.0 và dùng lâu dài sẽ ổn.","1"
"Đã mua hàng bên tgdđ bên địa chỉ 25/6 khu phố thắng lợi 2 dĩ an bình dương.mình xài chua đc 10 ngày có lỡ làm rơi trày 1 ít.nhưng ko thu lại máy.trong khi đó mình đã chịu mất phí.làm ăn quả thật rất chán.","0"
"Trải nghiệm tốt sạc pin nhanh , chơi game TFT chưa thấy nóng hay giật lag. Rất oke","1"
