"data","label"
"Dùng được gần 1 năm máy vẫn ngon","1"
"Máy dùng chán lỗi wifi vẫn kết nối với wifi nhưng không vào được mạng","0"
"Loa trong hơi nhỏ cần hỗ trợ","0"
"Mới mua máy được 2 hôm Dùng rất nóng, pin tuột khá nhanh, đang dùng ứng dụng hay bị treo phải thoát ra Cần được hỗ trợ","0"
"dùng bao phê nha","1"
"Mình sài được 6 tháng thấy ổn nhưng từ tháng 5 đến giờ sạc 45p mới đầy sạc chính hãng có cách nào khắc phục k shop","1"
"Điện thoại bị lỗi wifi, đang dùng wifi mà cứ bị đẩy wifi ra ngoài , không kết nối wifi được, tắt máy đi khởi động lại mới kết nối wifi được,","0"
"Đuênj thoại màu hết pin vô cùng . Ra bảo hành bảo mất hết dữ liệu chạy lại phần mền chán ông Xiaomi này","0"
"sài lỗi bong bóng chát, lỗi wf luc kêt nôi được lúc không, lỗi from ứng dụng khuyen k nên mua","0"
"Hiệu năng ko có điểm nào chê, camera cải tiến rất tốt, vừa update lên HPOS 2.0.103 ổn định hẳn","1"
"Từ khi mới mua được tháng cập nhật xong màng hình chạy loạn lên xem video bị văng ra không là tự nhảy video từa lưa","0"
"Chỉnh sửa ảnh IA không dùng được cam video chống rung tệ","0"
"Sau 6 tháng sử dụng, cảm thấy điện thoại không đươc tốt, ở chế độ 120hz pin tuột rất nhanh, còn ở chế độ 60hz thì cảm giác lag, điện thoại hoạt động ở môi trường 40C chở lên sẽ rất nóng khoảng 7080C, dẫn đến tình trạng lag, nóng, có khả năng cháy nổ gây nguy hiểm cho người dùng.","0"
"máy xài cứ vài bữa là không nhận được cuộc gọi rồi gọi đi cũng không được phải khởi động lại đã làm lại sim mới vẫn bị","0"
"Sao pin nhanh hết vậy ak","0"
"Sản phẩm tốt dùng ổn định","1"
"xài ok","1"
"Mk mới mua dk 8 ngày 4 ngày đâu tiên thì sạc pin từ 20100% mất có 2530p..xog mấy hôm sau sạc pin từ 20100% mất 1h40 1h50p thì nó mới đầy... Có ae nào bị như thế ko","0"
"Tuột pin nhanh , có đổi lại được ko ạ","1"
"Pin tụt nhanh quá.sử dụng nghe gọi bth mà ngày sạc 2 lần,chán quá","0"
"Xài ở q6 mà sóng vs wifi yếu quá mặc dù chỉnh tăng tốc kết hợp 2 wifi r vẫn vậy","0"
"Ok trong tầm giá .mỗi tội pin tụt nhanh .chán","1"
"Tại sao ở ngay trung tâm HN mà mạng Viettel chỉ lên đc 4G+ chứ ko đc 5G vậy mặc dù đã bật ưu tiên 5G rồi","1"
"Xài ok, pin trâu chip mượt, mà ko bik con này có sạc không dây không. Tải app check thì không có","1"
"Thiết kế điện thoại đẹp, cảm ứng mượt, loa lớn, chụp ảnh không cần app cũng ổn, sạc nhanh đầy pin. Yếu điểm duy nhất là pin tuột khá nhanh. Sử dụng YouTube, Facebook tối đa được 6 giờ là pin yếu.","1"
"Quá tệ, nhận máy đã bóc seal giống máy trưng bày, pin tụt rất nhanh, ngày sạc 2 lần dù k dùng nhiều, trải nghiệm khá tệ..","0"
"Khi nào mới có xiaomi 15, 15 pro Máy ra mắt lâu rồi mà shop Nhanh đi tôi cần mua","1"
"Minh để may qua đêm không chạy ứng dụng gì mà pin hết 10% Máy như vây có phải hư pin không minh mới mua máy dc 3 hôm","1"
"Mọi thứ ổn pin tuột hơi nhanh. Tầm giá này thì ăn đứt nhiều máy rồi. Máy cầm rất chắc chắn đầm tay. Thao tác hằng ngày nhanh mượt. Chơi game mượt máy ít nóng. Chỉ có điều là tại các cửa hàng ít máy quá và hầu như đã bóc hết siu máy. Mua máy mới mà ko đc bóc xiu hơi buồn. Đáng mua tầm 13tr5","1"
"Bắt wifi yếu vào app ngân hàng rất chậm bị lỗi nhiều quá","0"
"Máy mượt nhưng bắt wifi quá kém thua con máy cũ nx","0"
"Máy chạy cũng ok.Wifi bắt siêu chán thua con điện thoại sam sung 3 năm tuổi.","0"
"Dùng mượt, trải nghiệm mọi thứ đều tốt. Nhưng giá thì tụt quần quá, thiết nghĩ mua để dùng nên không nghĩ nhiều nhưng mới mua được tháng mà giảm sâu đến 4tr thì lần sau chắc không dám mua Xiaomi quá. Không bảo vệ quyền lợi người dùng như apple.","1"
"Trời ơi nó tụt pin nhanh quá để qua đêm không nghe nhạc không Bluetooth tắt 4g để không vậy mà nó tụt từ 30% pin từ lúc 22h đến 6 sáng hôm sau còn 8% pin","1"
"Máy sử dụng tốt mọi thứ, wifi 4, 5g , xem youtube liên tục đc 8h bằng mạng di động hết 100% pin , mua 16990 sau 30 ngày giảm mất 4050k , củ sạc thì ko thấy giảm , thiết nghĩ tgdd lên giảm giá củ sạc với cáp để người mua máy dễ tiếp cận với phụ kiện hơn , như vậy là tuyệt vời và thiết thực nhất","1"
"xài rất tốt trong tầm giá","1"
"Mơi mua 12.7 mấy ngày, giờ còn 12.9, máy chụp hình đẹp.","1"
"Máy ổn, mua thì seal bốc sẵn, số lần sạc pin thì bị reset về 0 liên tục","1"
"Mua hàng nguyên seal sao thấy bóc sẵn rồi, chưa thấy lỗi gì","1"
"Lúc mình mua 16tr990k mà giờ giảm còn hơn 13tr chán thật sự đã k có tiền còn chớ.. quá tệ","0"
"Vừa mới mua 15tr2 h giảm 13tr7 buồn thực sự.máy đang dùng chưa thấy lỗi gì chỉ là pin tụt hơi nhanh","1"
"Thấy vừa giảm giá mua liền chơi tết dùng Ok cho ace chơi game giá hợp lý rồi.chốt thôi","1"
"Wifi chập chờn, phải khởi động lại hoặc bật chế độ máy bay thì wifi ổn định lại. Còn lại xài oke. Ko chê vào đâu được.","1"
"Mới mua vừa rồi 16t990. Nay còn hơn 15tr. Đã không có tiền mà còn như vầy thì chịu rồi. Máy xài ok mọi thứ trừ wifi. Chập chờn, full sóng nhưng không truy cập được, tắt wifi trên máy rồi mở lại mấy lần thì mới được, trong khi các dt khác dùng trong nhà vẫn bình thường. Dòng này bị lỗi wifi hả mọi người.","0"
"Tuyệt vời quá, cá nhân mình thấy máy quá tốt, chụp hình Leica quá chuyên nghiệp, nước ảnh tốt nhất trong tầm giá.","1"
"Xiaomi 14T Pro rất tốt, hiệu năng cực mạnh, đáng mua nhất tầm giá, bảo hành dài.","1"
"Ảnh chụp gần bị mờ viền kb là chức năng hay lỗi nữa","0"
"Máy sài rất tốt ,đã dùng gần 1 tháng rồi .từ tác vụ bình thường đến game nặng.","1"
"Điện thoại khi sử dụng nống tầm 4045C, bắt sóng đt và wifi kém, chụp hình bình thường, loa nhỏ, AI không khác gì google.","0"
"Khả năng bắt wifi quá kém dù dùng mạng chúng với các dòng khác, xem video, bình luận mà K hiện thị đc,","0"
"","1"
