"data","label"
"Có thu máy mua lại máy mới ko ạ","1"
"Máy giật lag nóng máy ,hay bị đơ màn hình ,mới mua 2 tuần mà giật lg nóng máy","0"
"Sau 1 ngày trải nghiệm . Giá rẻ nhưng màn hình tối. Màu sắc ko đẹp .hoi thất vọng.. màn full HD mà tôi như vậy thưa con Oppo màn HD+ .","1"
"Mình đang dùng loại này rất OK, so với giá tiền thì quá tốt với mình rồi","1"
"Kết nối internet quá tệ .Màn hình quá xấu.Hyper os thì cũng éo khác gì mi os cả, Mua điện thoại về ăn quảng cáo trong app bảo mật của máy, Rồi điện máy xanh , mày bị gì không, gửi ảnh thực tế Rồi mua điện thoại khác để chụp nó à","0"
"Có thu máy cũ này lấy máy khác mới đc ko vậy","0"
"Dt xài mới mua xài được 9 tháng liệt nút nguồn","0"
"Quá tệ.chỉ lướt Facebook với nghe gọi mà mau hết pin kinh khủng.sai lầm khi mua máy này","0"
"Hãng này ở đâu cũng hơn 3 triệu, mà ở TGDD cả 4.7tr, xong còn nói quà này quà kia, chơi vậy chịu rồi","0"
"Sau khi 1 tháng sử dụng thì vân tay ko nhậy, ram 8g mà giật lag rất khó chịu, pin thì tạm ổn","0"
"Mình dùng khoảng 1 tuần.Sao thấy pin tuột quá nhanh.","0"
"Sau 1thoi gian sử dụng thì Màn hình rất tệ .ra ngoài trời thì ko thấy chi luôn .Pin tạm ổn cho 1ngàyCamerra thì chụp chơi chơi cũng okChơi liên quân bật setting trung bình.cũng khá mượtĐặc biết bắt sóng khá yếu.cũng 1vi trí nhung bắt 4g ko dc.trong khi con NaZo50 vẫn chạy phà phà.Tóm lại với giá 3củ 2 .thì chấp nhận dc","0"
"Điện thoại Sài được nhưng mạo hết pin và không Sài một đêm đi pin 15 phần trăm nữa .con một buổi thi mặt 10 trăm pin","0"
"Điện thoại này có hỗ trợ làm sinh trắc học không ạ . Tại không thấy NFC","0"
