"data","label"
"Tôi rất thật vọng khi mua máy này. Quá yếu trong tầm giá, mình khuyên mấy bạn không nên mua","0"
"Tôi mua redmi note 14 pro 5g được 2 tháng nhưng camera qr code của ứng dụng vcb baking bị méo hình ảnh, xin chỉ cách khắc phục","1"
"Máy nhanh hết bin quá dùng nhiều chắc ko được 12 tiếng ạ","0"
"Mới mua hôm qua xong. Về dùng thấy mọi thứ đều OK. Chỉ có điều là pin tụt rất nhanh và sạc pin cũng khá ảo. Mình dùng sạc 33w của máy trước cắm sạc lúc máy mua về còn 44% mà sạc đc tầm 30 phút đã thấy đầy. Vs lại sạc đầy 100% mà mang đi làm tầm 15 17 phút đã mất 1% pin dù chưa làm gì. Màn hình để chế độ đọc sách. Ngồi lướt mạng tầm 15 phút đã thấy xuống còn 94% pin rồi. Dùng thử 1 tuần nếu pin vẫn xuống nhanh thì mình mang ra cửa hàng để đổi máy khác","0"
"Quá mau hết pin . Làm sao sạt được 100/100 pin","0"
"Máy mình cập nhật phần mềm mới rồi mà nhanh tụt pin. Thời gian update phần mềm mới có tí mà đã hụt 1520% pin rồi","0"
"Mua đt giữa tháng 5, tới giữa tháng 7 không dùng đc app ACB Đi ra ACB kiểm tra thì ACB báo lỗi do máy điện thoại Lên mạng tìm hiểu thì con đt dòng nào của Xiaomi Red cũng bị. Mình ráng chờ thử xem nó có ổn định lại không, đến nay tháng 8 rồi vẫn ko dùng đc Mn cân nhắc trc khi mua, chứ đt ko dùng đc app ngân hàng thì bỏ.","0"
"Muốn đổi máy lại qua Samsung a56 , tư vấn giúp mình với","1"
"ĐT bị rè loa, mới sử dụng được 1 tháng 3,4 ngày phát hiện rè nhưng nghĩ do ứng dụng mà ứng dụng nào cũng bị đến ngày 15/7 gửi ST có mua bảo hiểm 1 đổi 1, tại ST nv kểu phải gửi hãng và hãng bảo lỗi phần mền kêu chạy lại và gửi về. mình không đồng ý kết luận đó vì ứng dụng nào cũng bị và có BH. Gọi lên TĐ Khiếu Nại hỏi thì ghi nhận và giải quyết vào ngày 22 gọi báo không đồng ý với kết luận như thế NV bảo có thông tin sẻ gọi và 4 ngày sau không thấy gì 25/7 mình gọi lên hỏi thì hẹn 28 thì k nghe gì luôn mình mất gọi lên hỏi nói chưa có thông tin và hẹn lại 30 và vẫn phải chủ động gọi hỏi nha không ai gọi xuống cả và tiếp tục hẹn 31 như nào thì cũng báo mình. Mình nghĩ sẻ có KQ nhưng khôngluôn, lần này mới thấy NV gọi lại nói hẹn 2/8 và lần này vẫn phải gọi lên hỏi nha mình rất bực nói hồm giờ hẹn hoài, .... và hẹn lại mình 4 tây là hồm nay không biết như nào quá mệt mõi với cách giải quyết vòng vo như này. mình mua hàng rất dễ tính hẹn vẫn chấp nhận để giải quyết mà lần này rất rất không hài lòng","0"
"Đã dùng 1 tháng. Pin tụt nhanh . mạng thì lag thường xuyên bị rớt. Rất thất vọng về dt","0"
"Hiện tại điện thoại mình xài rất tốt.Nhân viên tư vấn cho mình rất hài lòng,vui vẻ.","1"
"Sóng 4g cứ lâu lâu bị mất hoài , đã ra cửa hàng kiểm tra và cập nhật phiên bản mới nhưng vẩn bị","0"
"Rất tệ , tệ nhất wiffi","0"
"Tôi mới mua đt 2 tuần, muốn hoàn lại, TGDD thu giá như thế nào.","0"
