"data","label"
"SD chưa đầy 1th thu lại bao nhiêu v ạ","0"
"Mặt lưng nhựa chứ kính đâu ra","1"
"điện thoại mới mua mà hao pin quá, tắt hết ứng dụng ngầm mà vẫn bị tụt pin quá nhanh","0"
"Đt sài chán để 5g 4g kéo k nổi","0"
"Tôi hối hận khi chưa đọc đánh giá về sản phẩm. Mới dùng thấy thật vọng. Mới mua đc 1 tiếng.","0"
"sạc 120w nhma cắm mãi k lên pin. Chậm hơn cả sạc thường. 3 đời dùng xiaomi nhma phải nói là hối hận nhất là mua con này. camera trc xấu. Lướt cảm giác cứ bị chậm chậm. So vs con xiaomi12 mua 3 năm trc lướt vẫn còn mượt hơn. Thất vọng về lần nàyy","0"
"Mình mới mua trả góp hôm 30/7/2025.giờ mình không còn như cầu dùng nữa,shop có hỗ trợ trả máy lại không và phí mình mất là bao nhiêu phần trăm ạ.","0"
"Mình dùng được gần 2 tuần vào ngân hàng MSB chậm giật lác.","0"
"Lúc đầu giới thiệu thì oke lắm tới về nhà thì zoom 30 thì nó hột không, nhungo được cái hổ trợ sách 120w thì sạc nhanh đó, điện thoại cầm pin thì cũng oke, chỉ mỗi cái chụp hình thì rất tệ","0"
"Tôi mua trải nghiệm được 2 tuần rồi chỉ chấm pin và sạc nhanh 120w thui ngoài ra tất cả mọi thứ rất tệ chụp hình 200mp mà thua con ip 11promax của tôi nữa rom 30x như xịt, thất vọng tốn 12tr490 để trải nghiệm sạc nhanh 25 phút đầy làm máy phụ chơi gem lướt Facebook tốp tốp thui","0"
