"data","label"
"Mua dùng đc 2 năm ,cục nóng vừa hết hạn bảo hành thì máy kêu cực kì to, cực kì ồn . Quạt máy lạnh thì chỉ cần mở gió to là kêu cánh quạt","0"
"Cục nóng kêu to, kỷ thuật tới lui cả tháng nay chưa giải quyết được, không bao giờ sử dụng hãng aqua nữa, rất tệ.","0"
"ok","1"
"Tốt","1"
"Máy này mình xài tầm 5 tháng rồi . Ban ngày thì cục nóng chạy bình thường , ban đêm thì cứ lúc chạy lúc không nên càng về đêm sẽ càng nóng . Ngủ mà cứ bị dựt mình vì nóng và phải giảm nhiệt độ lại , Lúc mới mua mình có Gọi hỏi tổng đài thì kêu là do nhiệt độ bên ngoài gì đó , gọi thợ đến bảo hành thì thợ bảo là cần vệ sinh , trong khi đó máy mới mua 1 2 tháng mà kêu vệ sinh , mình cũng vệ sinh theo lời thợ nhưng tới hôm nay 5 tháng rồi máy vẫn như vậy . Trước giờ vẫn luôn mua hàng bên đmx , nhưng cskh và bảo hành kiểu này thì thôi không bao giờ ủng hộ thêm gì nữa","0"
"Có cách nào xử lý ko ạ, máy nhiều lúc như trực thăng dag đậu trên nóc nhà .xin cảm ơn trước","1"
"Cục nóg chạy ồn , kêu xẹt xẹt , chảy nước nhiều ngoài cục nóg , thợ lắp thuê ngoài ko phải nv của dmx, khoan tườg ko che chắn mũi khoan, bụi bẩn khắp nhà . Càg ngày càg tệ .","0"
"Máy làm lạnh nhanh nhưng cục nóng kêu to quá ồn","1"
"Em đã sd được 5 thángTrãi nghiệm sd sau 5 tháng là máy rất ồn nhaTừ tháng rồi cục lạnh bắt đầu rung kêu to lắm, đang ngủ mà giật mình ngồi dậy tắt máy luôn đấy","0"
"Rất tốt, làm lạnh nhanh, êm, không khô da","1"
"Rất tốt","1"
"Máy chạy mát, dễ chịu, êm ái.","1"
"Đã dùng được 2 tuần, máy vận hành êm, lạnh nhanh, chế độ giấc ngủ tốt","1"
"máy lạnh mát sâu nhưng tối thì lại kêu rất to tầm 10s thôi nhưng đêm kêu 6 7 lần rất phiền giấc ngủ","0"
"Máy chạy chế độ bình thường rất ồn chuyển sang chế độ yên tĩnh cũng ồn hơi thất vọng vì mua sản phẩm này","0"
"Máy lạnh bị rỉ nước. , cục nóng chạy hơi ồn.","1"
"Máy đẹp, hoạt động êm, mau lạnh.Rất tốt, phù hợp giá tiền.","1"
"Máy lạnh đang chạy bị ngắt cầu dao liên hệ với bộ phận bảo hành như thế nào vậy","0"
"Êm rất ổn đáng để mọi người trải nghiệm","1"
"Tốt","1"
"Máy lạnh e mới lắp nên chưa biết ntn nhưng hiện tại máy lạnh chạy rất êm, cục nóng cũng ko quá ồn. Nhân viên lắp đặt rất nhiệt tình, làm xong vệ sinh sạch sẽ máy ạ, cho các anh nhân viên 5 ạ","1"
"Bán đồ ráp tầm bậy tầm bạ Trốn tránh trách nhiệm khi ban cửa hàng lớn buôn bán như ăn cướp","0"
"Máy hoạt động rất tốt ạ","1"
"Ok","1"
"Ổn","1"
"Máy ko làm lạnh liên hệ với bộ phận bảo hành như thế nào vậy","0"
"Tạm ổn","0"
"Máy chạy êm nhưng cục nóng bị nhỉu nước","1"
"Máy chay êm ạ. Lạnh tốt.cảm on shop","1"
"Rất tốt , nhân lắp ráp hổ trợ tư vấn trong quá trình sài nên chú ý rất chu đáo","1"
"Không biết do máy hay do lắp sai máy nhà sử dụng kêu rất to . Ảnh hưởng đến sinh hoạt gia đình","0"
"Rất tốt hơn cả mong đợi","1"
"Có thể chỉnh lạnh thêm không .","1"
"Cục nóng lúc bình thường. Lúc ồn như cái máy cày. Chạy rung cả tường rung cả cửa. Tệ cực kì","0"
"Máy kêu như máy xay gạo kêu bảo hành 2 lần không khắc phục được giờ chấp nhận trả máy để mua hãng khác cũng lâu chán thật sự mua ko biết bao nhiêu thứ ở dmx nhưng lần này lầm thật sự","0"
"Tuyệt vời","1"
"Máy k hoạt động","0"
"Mua máy lạnh mà tưởng mua máy cày ko luôn đó. Bỏ gần 10tr để mua cục ồn về nhà. Quá sức hối hận ko nên mua","0"
"Hàng ok","1"
"Thật sự là rất tệ mua góp 6 tháng mới đóng được 4 tháng thì hư 2 lần được các bạn tư vấn viên nói dòng này tốt lắm đã trải nghiệm và lần đầu bị xì ga lần 2 ống đồng gĩ nuớc và đóng tuyết làm lạnh lâu máy cũng hơn 8 triệu mà sài tệ quá bù thêm ít nữa mua daikin có vẻ ok hơn","0"
"Máy sử dụng ít ngày còn thấy mát từ lúc mua tới giờ chưa đầy một tháng mà bây giờ máy lạnh còn thua cái quạt","0"
"Máy mới chạy êm","1"
"Máy thiết kế đẹp làm lạnh ổn điểm trừ là cục nóng kêu quá to mặc dù để chỉ 27 độ nhiều lúc phải nói ồn như tiếng máy bơm nước giếng","0"
"Máy xài tốt nha nên mua","1"
"ai ở trọ nên cân nhắc cục nóng ồn gây khó chịu cho trọ kế bên .còn mọi thứ ok","1"
"Máy lạnh xài êm máy lạnh luôn","1"
"Máy lạnh dùng ổn. Chỉ tiếc là nhân viên lắp đặt chưa chuyên nghiệp. Giàn nóng lắp trên lam cửa sổ ko có một con vít cố định lỗ có gió bão chắc bay mất.","0"
"Sai Rat hai long","1"
"Ok","1"
"Thợ lắp chưa chuyên nghiệp. Còn chừa 1 đoạn chưa bọc cách nhiệt tại vị trí nối cục nóng nhưng quấn keo lại. Gây đọng sương nhỏ nước tại vị trí đó. Lâu ngày sẽ gĩ sét cục nóng.","0"
"Rất OK đó shop","1"
"rất ok","1"
"Dàn lạnh quạt ồn mua cách 1 ngày giảm 1tr. Nói chung ko nên mua","0"
"Mình mới lắp máy chạy ổn nhưng nhân viên lắp ráp không hút chân không Nếu bên điện máy xanh có phần đánh giá cho nhân viên thì tốt.","0"
"Đã gọi bảo hành ngày 12/7/2023 tổng đài hẹn cho nhân viên đến trước 22h cùng ngày nhưng đến nay ngày 14/7/2023 vẫn chưa thấy mặt nhân viên ở đâu các bạn làm ăn quá tệ","0"
"Bán xong Điện Máy Xanh và AQua đùng đẩy trách nhiệm. Lấy căn cứ từ thông tin đăng tải về chính sách bảo hành nói chuyện với Khách hàng nhưng Khách hàng lật thì câm họng vì chính sách ""treo đầu dê bán thịt chó"" ngay chỗ hãng đổi nếu lỗi trong 730 ngày (có xác minh từ hãng). NÓI THẲNG TÍNH ĐỂ SÀI TỚI ĐÂU TỚI ĐÓ LỠ BỎ 8 TRIỆU MUA RỒI. RẤT KHÔNG HÀI LÒNG ĐIỀU GÌ (còn hình như để dành)","0"
"tao sai lầm khi mua máy lạnh này ở đmx cam kết lối 1 đổi 1 lên kiểm tra 3 lần báo lối ko đổi đơn vị bán hàng lớn nhất cả nước làm việc quá tệ ko uy tín (tao sai lầm khi tin tưởng tụ mày và mua những xản phẩm như tivi ,tủ lạnh nồi cơm điện điên thoại di động ở TGDĐ _ ĐMX ) đó là sai lầm từ trước đến giờ của tao","0"
"nhân viên lấp máy ko thành thật. ko nhiệt tình","1"
"Tốt","1"
"Chính sách sau bán hàng rất tệ. Gọi bảo hành mà hẹn lên hẹn xuống. Nhân viên bảo hành thì hẹn ngày cho có, sau đấy mất hút, gọi lại lại hẹn xong lại mất hút. Trước kia tin tưởng mua và giới thiệu là vì chưa gặp phải trường hợp phải sửa chữa bảo hành, gặp rồi mới biết ko nên mua","0"
"Sản phẩm xài ok","1"
"Sản phẩm rất tốt","1"
"Máy lạnh thì ok.còn bên người ráp thì làm ẩu.cục nóng bắt che đồg hồ điện trong khi mua combo 5m ống đồng nhưg thực tế làm thì cố tình để nóng lạnh gần nhau để lấy ống đồng dư của khách.đừng nên mặt áo để chự ""tận tâm"" làm gì.","0"
"Ok","1"
"Máy lạnh rất tốt","1"
"Phục vụ rất tận tình và chu đáo","1"
