"data","label"
"Mới mua 3 tháng máy không mát, điện thoại bảo hành báo cao điểm 2 ngày sau mới kiểm tra được","0"
"Hôm qua có đến lắp máy cho tôi, phát sinh thêm 1 mét dây đồng 170.000đ tôi có nhờ gắn dùm bóng đèn khúc đầu đồng ý khúc sau lúc đó 7h tối bảo không thấy đường gắn nhà xa. Bảo hôm sau gắn là ngày 3/5 tức là hôm nay. Tôi đã đợi cả ngày nhưng không thấy tôi đã gọi lại cho nhân viên lắp đặt hôm qua lại bảo tôi lộn số. Vấn đề nằm ở chỗ lúc đầu bảo không gắn được luôn đi đừng hẹn. 170.000đ tiền phát sinh dây đồng tôi chuyển khoảng luôn 250.000đ coi như tiền công lắp bóng đèn nhưng thái độ như thế tôi không hài lòng.","0"
"Máy có chức năng hiển thị nhiệt độ trên dàn lạnh không nhỉ","0"
"Tệ lắp được 3 ngày đã lỗi","0"
"Chủ quan không đọc đánh giá vì tin tưởng dịch vụ của DMX. Lắp ĐH xong phát sinh 3tr tiền vật tư, NV tư vấn lắp lên tầng 3 kéo dây xuống tầng 1. Sau đổi ý lắp xuống tầng 2 thì NV k chịu Cái này 1 phần lỗi của gia đình đã chốt lắp lên trên, tối hôm đó bị chảy nước từ dàn lạnh ra đã được khắc phụcNói chung là không ưng lắm. Sẽ không bao giờ quay lại mua hàng DMX nữa","0"
"Máy đang chạy bấm giảm nhiệt độ xuống.vừa bấm là máy tắt liền là bị sao vậy mn.mới mua chưa dc 1 tháng mà bị 2 lần rồi.lần trước cứ nghĩ bấm bị cấn nút tắt k .nhưng lần này thì xác định là k phải bấm bị cấn nút tắt","1"
"Máy cũ đang chạy bình thường. Nhân viên lắp đặt tới tháo máy cũ ra mà không nhốt ga lại làm rò rỉ hơn 1kg ga. Thu thêm 240k vệ sinh đường ống không có trong thỏa thuận ban đầu của đơn hàng, trong khi vệ sinh qua loa chưa tới 1 phút.","0"
"Lắt đặt rất tệ, xài được 1 tuần thì xì ga, gọi bảo hành xài đk tuần thì lại ko làm lạnh, bật máy lên không khác j quạt máy thông thường.","0"
"Sai rất Ọk","1"
"lăp đăt va bao hanh siêu tê hai nhân viên lăp đăt lăp CB va dây điên trong ông bao ôn loai đêu chay đc 2 3 lân chay hêtgoi nv xuông bao hanh thi cư đô thưa cho may bên daikin bi lôi nv xuông 5 lân vân ko sưa chi đô tai cho hang t nan qua goi thơ ngoai vao đông kiêm tra vs nv hang daikin mơi phat hiên ra dây do nv đmx lăp đăt la dây đêu chay hêt rt goi lên hang đmx khiêu nai thi nhân đươc câu tra lơi la vi đa goi nv ngoai đên nên ko tiêp tuc bao hanh nưa thưc sư ko thê châp nhân nôi thai đô lăp đăt va bao hanh bên đmx","0"
"hút chân không ko đủ thời gian...mọi người nên chú ý yêu cầu thợ lúc lắp phải hút chân không đủ thời gian,ít nhất phải 15p trở lên,ở nước khác bắt phải hút 15p để hút hết ẩm trong ống đồng,nếu chỉ hút không khí tầm 5p là đủ,còn hút hết ẩm phải 15p,nếu hút không đủ thời gian sẽ ảnh hưởng tới tuổi thọ của máy lạnh đồng thời ảnh hưởng tới hiệu quả làm mát,ở nước khác nếu hút ko đủ 15p có thể yêu cầu hãng đổi nhà máy mớiđừng chấp nhận hãng hút lần thứ 2. hút lần thứ 2 sẽ dễ lm rì ga.","0"
"Nút sáng trên máy lạnh không tắt được. Lúc ngủ sáng chói mắt không thể ngủ được.","1"
"Tam thoi thi minh dung thay rat ok","1"
"Máy lạnh daikin là dòng công nghiệp, khỏe bền đẹp, tôi luôn chọn daikin là vì vậy","1"
"máy lạnh sử dụng tốt","1"
"máy kêu hơi to, hoạt động bình thường","1"
"máy lạnh tốt","1"
"máy chạy êm, tốt","1"
"máy lạnh tốt","1"
"máy lạnh tốt","1"
"máy lạnh tốt","1"
"máy lạnh tốt","1"
"tiết kiệm điện, được","1"
"máy chạy êm, tốt","1"
"máy chạy êm, ổn định","1"
"máy cũng được, mát","1"
"dùng oke, cũng được, mát","1"
"máy xài tốt","1"
"cũng tốt, máy chạy bình thường, ổn định","1"
"cũng êm, tốt","1"
"máy chạy cũng êm, tạm thời chưa có vấn đề gì","1"
"mình thường, dùng ok","0"
"máy vẫn chạy bình thường, tốt, êm","1"
"máy chạy tốt, chưa có gì phát sinh","1"
"êm, tạm thời không có gì phát sinh, mình cho máy 5 sao","1"
"máy lạnh dùng tốt, mát, chưa có vấn đề gì","1"
"máy lạnh dùng tốt, mát, không có gì phát sinh","1"
"dùng ok, máy chạy êm, mát nhưng hơi hao điện","1"
"tiết kiệm điện, mát lạnh, ít hao điện","1"
"tốt, dùng ok","1"
"êm, tốt lắm, mình cho 5 sao","1"
"ngon, máy chạy êm, tốt, không có gì phát sinh","1"
"máy xài ngon, tốt, mình mua Daikin này là máy thứ 3 rồi, chạy êm lắm","1"
"mình mua gắn vào phòng cho con xài, thấy chạy cũng êm, chưa có gì phát sinh","1"
"chạy êm, máy tốt, mình tính mua thêm 1 cái nữa","1"
"êm, dùng ok nhé","1"
"máy chạy êm, tốt, cho 5 sao","1"
"êm, tốt, không có phát sinh gì","1"
"chưa có vấn đề gì phát sinh, máy chạy êm","1"
"máy lạnh Daikin có tiếng rồi, máy mình mua về dùng thấy chạy êm, cho 5 sao","1"
"tốt, chạy êm, mát","1"
"máy mới mua nên dùng tốt, chưa phát sinh gì","1"
"máy mình mua về dùng được mấy tháng thấy tốt, chạy êm","1"
"máy đạt chuẩn, dùng tốt, êm, mát","1"
"mình thấy máy chạy êm, tốt, cho 5 sao","1"
"máy dùng tốt, chạy êm, mát","1"
"máy vẫn đang dùng bình thường, tốt","1"
"máy lạnh dùng tốt, chạy êm","1"
"máy chạy êm, vẫn đang dùng tốt","1"
"mình mua máy về thấy máy chạy tốt, êm","1"
"máy đang dùng tốt","1"
"máy chạy êm, dùng tốt","1"
"máy chạy êm","1"
"máy xài được","1"
"mình có giới thiệu thêm cho người nhà xài, máy chạy tốt, êm","1"
"máy mình mua mấy tháng nay thấy xài êm, được","1"
"máy chạy êm, hơi có mùi","1"
"máy lạnh chạy êm","1"
"máy mua về đang dùng bình thường, tốt","1"
"máy chạy êm, mát, không có gì phát sinh","1"
"Sau hơn một tháng sử dụng mình có nhận xét như sau, máy lạnh làm lạnh nhanh, máy chạy êm, nhân viên lắp đặt kỹ càng cẩn thận, có hút chân không.Mình chỉ không ưng phần thiết kế cửa gió dàn lạnh khi tắt máy cửa gió đóng lại nhưng vẫn có một khe hở to, khoảng 2cm, khe hở như vậy có thể bị thạch thùng, nhện chui vào bên trong.","1"
"máy lạnh tốt","1"
"máy sử dụng tôt","1"
"máy lạnh tốt","1"
"máy lạnh tốt","1"
"máy xài ok","1"
"máy sử dụng tốt","1"
"máy lạnh sử dụng tốt","1"
"máy tiết kiệm điện","1"
"máy lạnh sử dụng tốt","1"
"máy lạnh sử dụng tốt","1"
"máy lạnh tốt","1"
"máy lạnh tốt","1"
"máy lạnh tốt","1"
"máy lạnh tốt","1"
"máy lạnh sử dụng tốt","1"
"máy sử dụng tốt","1"
"máy lạnh tốt","1"
"máy lạnh tốt","1"
"máy lạnh ổn, mát","1"
"máy lạnh tốt","1"
"máy sử dụng tốt","1"
"máy lạnh tốt","1"
"máy lạnh êm","1"
"máy lạnh tốt","1"
"máy lạnh tốt","1"
"máy lạnh sử dụng tốt","1"
"máy lạnh tốt","1"
"máy lạnh tốt","1"
"máy lạnh tốt","1"
"máy lạnh tốt","1"
"máy lạnh tốt","1"
"máy lạnh sử dụng tốt","1"
"máy lạnh sử dụng tốt","1"
"máy lạnh ok","1"
"máy lạnh tốt","1"
"máy lạnh ok","1"
"máy lạnh tốt","1"
"máy lạnh êm","1"
"máy lạnh ok","1"
"máy lạnh tốt","1"
"máy dùng được","1"
"máy sử dụng tốt","1"
"máy lạnh sử dụng tốt","1"
"máy lạnh tốt","1"
"máy lạnh chạy êm","1"
"máy lạnh tốt","1"
"máy lạnh tốt","1"
"Máy lạnh Daikin inverter 1,5 HP sử dụng rất dễ chịu. Thợ lắp đặt rất chuyên nghiệp.","1"
"Ok tốt cảm ơn điện máy xanh","1"
"Máy lạnh chạy êm ,tk điện ,nv phục vụ tận tình .","1"
"Dùng rất ok","1"
"Máy lạnh dùng rất tốt, lạnh ko bị sốc nhiệt như một số dòng","1"
"Rất tốt","1"
"cục nóng kêu to quá","0"
"Máy lạnh chạy yếu. Gọi bảo hành thì hẹn 3 ngày, xong vào lại bảo bình thường, gọi hãng vào kiểm tra vẫn nói bình thường mà ngồi hướng trực tiếp vào người vẫn toát mồ hôi gáy. Khuyến cáo mọi người rất không nên mua. Nếu báo đạt thông số mà vẫn ra mồ hôi thì máy lạnh j nữa.","0"
"Cục nóng chạy kêu to .","0"
"Máy lắp được hơn hai tuần, hiện tại thấy máy chạy êm, làm lạnh ổn. Có 1 điều không hài lòng ở khâu lắp đặt cho lắm, mua máy bên đmx nhiều rồi nhân viên không hút chân không máy nào cả, về lâu dài không biết có ảnh hưởng tới máy không. Bên NK nhân viên lắp máy làm rất kĩ lưởng hút chân không đầy đủ","0"
"Fff","1"
"Kiểm tra","0"
"Sài tốt","1"
"Cục nóng ồn quágiờ phải lam sao mọi người","0"
"Sử dụng mát mẻ nhanh lạnh","1"
"Tốt","1"
"Hài lòng","1"
"Máy quá ồn.","0"
"Dịch vụ bảo hành rất tệ, máy mới lắp ngày đầu tiên đã chạy yếu, ko lạnh, khách gửi yêu cầu bảo hành thì giải quyết chậm trễ kéo dài ngày này qua ngày khác, lấy tiền của khách xong rồi ko quan tâm đến nữa sao.","0"
"Ok","1"
"Mình mới lắp con này,nhân viên lắp cho máy có 1,5met ống đồng,trong khi mình gọi hãng Daikin họ nói là lắp phải tối thiểu 2,5met ống đồng mới đúng kĩ thuật không là sau này nếu hỏng do nguyên nhân lắp ống đồng quá ngắn thì họ không bảo hành lỗi đó.Cũng không thấy nhân viên hút chân không,nói là đã đuổi gas rồi.Dịch vụ của Điện Máy Xanh càng ngày càng kém dần.","0"
"Làm ăn tệ bạc quá chừng. Kỹ thuật đến lắp ráp như thế nào mà máy chỉ thổi gió không lạnh. Gọi bảo hành hẹn qua ngày mới giải quyết. Mình yêu cầu giải quyết sớm hơn thì bảo để em gọi kỹ thuật rồi liên hệ lại với chị. Lúc mua thì lẹ làng lắp ráp lúc giải quyết sự việc trì trệ cho qua loa.Không bao giờ ủng hộ Điện máy xanh nữa, kỹ thuật làm ăn ẩu tả còn cskh quá tệ.","0"
"Hút chân không là bước quan trọng nhất khi lắp đặt máy lạnh, để tránh tình trạng hư hỏng máy sau này, nhưng đa phần nhân viên lắp đặt thường bỏ qua bước này...","0"
"Tốt nha shop","1"
"Nhân viên ok hỗ trợ hết mình","1"
"ok","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
