"data","label"
"Điều khiển không dùng dc máy thì kêu như dế kêu","0"
"máy hút mùi cống từ bên ngoài vào nhà, xem về máy lạnh thì đúng ra theo thông tin đọc được là máy hút hơi nóng trong phòng, lọc khí rồi trả lại khí lạnh cho căn phòng mới đúng, giờ cứ mở máy khoảng 1 tiếng máy bốc mùi cống vậy sao dùng được, giá mua mắc hơn ngày 1/4 đến 600k, và máy rất ồn trong 30 phút đầu, mua panasonic hay hơn nhiều, mắc hơn vài triệu nhưng tiết kiệm hơn 0,24kw điện nữa","0"
"Ok","1"
"Phải nói là dmx lắp đặt quá tệ, trong vòng nữa tháng mua 2 cái điều hoà tổng 46 triệu mà lắp kiểu gì cái trước bị rỉ nước ra cả phòng, hôm nay lắp cái nữa cũng bị rỉ nước ra cả phòng, quá tệ, lắp xong lúc 18h giờ 21h kiểm tra thì nước chảy tràn lan","0"
"Tốt","1"
"máy vẫn đang dùng tốt, không có gì phát sinh","1"
"máy dùng tốt, oke","1"
"chế độ làm lạnh tốt, máy chạy êm, mát","1"
"dùng oke, êm, mát lạnh","1"
"máy dùng tạm ổn, hơi kêu","1"
"máy chạy êm, mát lắm, dùng ok","1"
"máy chạy ổn định, không có vấn đề gì, tốt","1"
"máy dùng tốt, hoạt động ổn định","1"
"dùng oke, tốt, mát lắm","1"
"tốt, máy chạy êm, mát","1"
"máy dùng tốt, hoạt động ổn định","1"
"máy xài tốt, ổn định","1"
"phòng mình nhỏ nhưng mua máy 1.5hp máy hoạt động máy dịu, dùng ổn","1"
"tốt, máy chạy êm, mát","1"
"tạm ổn","1"
"sản phẩm xài thấy bình thường","1"
"Mới Sài thì ổn định lâu dài rồi mới biết được","1"
"máy chạy êm, mát lắm, dùng ok","1"
"máy làm lạnh nhanh, mới dùng thấy tốt","1"
"máy xài tốt, dùng ok","1"
"máy sử dụng tốt, mình mua daikin dùng 10 mấy năm rồi, máy êm, ổn định","1"
"máy chạy êm, mát lắm, dùng ok","1"
"máy chạy êm, mát lắm, dùng ok","1"
"dùng ok, êm, mát, ổn định","1"
"máy ổn định, chạy bình thường, không có vấn đề gì, êm ái","1"
"êm, máy chạy rất êm, cho 5 sao","1"
"máy chạy ổn định, không có vấn đề gì, tốt","1"
"máy chạy ổn định, chưa có gì phát sinh","1"
"dùng oke, tốt, êm, hãng Daikin dùng tốt","1"
"dùng oke, máy chạy êm, không có vấn đề gì hết","1"
"dùng được, êm, tốt, hoạt động ổn định","1"
"máy xài tốt, dùng ok lắm, không có vấn đề gì","1"
"máy dùng tạm ổn, hơi kêu","1"
"dùng oke, êm, mat lạnh","1"
"máy chạy cũng êm nhưng mình thấy panasonic chạy êm hơn, nhưng mà máy này thì cũng được, ok","1"
"máy chạy êm, mát lắm, dùng ok","1"
"máy mới mua về chạy cũng ok, êm nhưng bây giờ thấy máy hơi kêu, mình theo dõi thêm","1"
"máy đang chạy ổn định, không có gì phát sinh","1"
"máy chạy tốt, chất lượng sản phẩm tốt, dịch vụ tốt, mình cho 5 điểm","1"
"dùng oke, tốt, mát lắm","1"
"máy giá hơi cao nhưng thấy xài tốt, chạy êm","1"
"mình bật máy vào buổi tối thấy máy chạy êm, mát","1"
"máy dùng tốt, dùng ok, chạy êm","1"
