"data","label"
"đã sài 5 tháng.mọi người sài rồi cho mình hỏi máy lạnh sẽ làm mát cả phòng hay chỉ mát chỗ hướng ra máy lạnh thôi ạ.2 đứa con trong phòng để 25 độ đứa lạnh run đứa toát mồ hôi","1"
"Máy này ít lạnh , tôi mua dc tầm 3 tháng mà lạnh ít quá","0"
"Máy chạy êm đáng mua, anh nhân viên làm cẩn thận khoan không rớt 1 miếng bụi nào","1"
"Hàng dùng đúng hết bảo hành là hỏng, chỉ mát nhẹ không mát sâu","0"
"Nhân viên lắp đặt không lắp đặt 2 tấm phin lọc khử mùi. Đường ống đồng nhà sản xuất ghi rõ ở hướng dẫn lắp đặt tối thiểu là 2,5m. Nhưng Nhân viên lắp đặt thì chỉ để chưa đến 2m . gọi điện hỏi nhưng nhân viên bán hàng cũng không biết tối thiểu là bao nhiêu chỉ trả lời chung tối đa 5m như đã đặt hàng. Khách hàng phải yêu cầu 3m mới nối thêm nhưng nhìn cũng chưa đủ Đặt hàng ở điện máy xanh chủ yếu về trải nghiệm dịch vụ nhưng thấy chưa vừa lòng Đọc ở bình luận thấy nhiều khách hàng phản ánh. DMX nên xem xét lại để cải thiện","0"
"Tôi mới lắp 1 con cho phòng 3m x 2,5m cao 3,5m bật 28 độ mà thấy quạt chạy cả đêm không biết diện tích phòng có lớn hơn quá với công suất máy không sao hông thấy khi nào máy ngưng","1"
"Làm ăn gian dối lừa gạt khách hàng . Tư vấn bán hàng bảo hành 2 năm nhưng kích hoạt chỉ có 1 năm","0"
"Tôi mua máy lần thứ hai, máy dùng tốt lần đầu nhân viên lắp đặt rất cẩn thận và chu đáo nhiệt tình.mua lần 2 nhân viên lắp đặt quá cầu thả, làm bừa bộn không thu rọn sạch sẽ lại thu thêm tiền khoan tường để luồn ống tôi thắc mắc không hiểu kiểu gì, không hút chân không nữa nói chung nhân viên lắp đặt quá kém , quá thất vọng","0"
"Hỗ trợ m","1"
"Lúc gắn có dặn thợ hút chân không nghe anh, gắn xong thì nói hút rồi , trong khi đó thì chưa có hút","0"
"Trãi nghiệm tốt nhưng cái remot khi tắt thì màn hình trên remot không tắt và vẫn hiện số nhiệt độ như bt đang sử dụng vậy ạ","1"
"Máy chạy êm ru, nhân viên giao nhận và lắp ráp rất nhiệt tình và khéo léo. cho 5 sao","1"
"Gắn máy lạnh mà không hút chân không vậy để miễn phí lắp đặt, hút chân không làm gì. Nhắc cả 2 người đi lắp vẫn không hút chân không cho khách.","0"
"Mình dùng 2 máy Daikin ,máy trước mua 13tr dùng ok ,máy này mua giá rẻ hơn thì đương nhiên chất lượng ko bằng chỉ hơi khó chịu là gió mức 1 ,2 ,3 hơi ồn","0"
"Cục nóng máy lạnh lắp bị nghiêng sang một bên, không biết có ảnh hưởng độ bền không","0"
"Mua máy hôm 19/10, sài được 4 ngày mà máy tự động tắt 2 lần, đến ngày thứ 4 thì máy tắt không mở được, nhân viên bảo hành đến kiểm tra thì báo ko biết lí do hư, sau đó máy cứ bị chập chờn lúc mở được lúc không Yêu cầu đổi 11 thì đmx báo để cho nv bảo hành kiểm tra lại vào hôm sau","0"
