"data","label"
"Ngoài cục nóng bị nhiểu nước phải làm sao ak","1"
"mình mua máy lạnh này bên ĐMX xã cái đôi vàm nhân viên tư vấn nhiệt tình vui vẻ quá trình lắp đặt có 1 sự cố nhỏ nhưng bên ĐMX đả kịp thời khắc phục cho mình. Về lắp đặt nhân viên lắp đặt tên Huy nhiệt tình, dễ thương, vui vẻ. Chất lượng sản phẩm máy lạnh chạy êm không ồn lạnh dịu rẩ đáng giá 5","1"
"Tôi đã sử dụng đc 3 tháng nay, máy vẫn chạy tốt, máy nén chạy êm, lạnh sâu, đêm tôi hay đặt ở 2627C, kèm theo quạt, còn kết nối wifi muốn sử dụng máy ngoại mạng thì trước tiên phải cài đặt kết nối wifi, rồi mới cài đặt đc mạng di động để mình sử dụng đc khi ở bất cứ nơi đâu","1"
"Làm sao để kết nối với điện thoại được ạ","1"
"Mới lắp dùng quá mát và ổn định","1"
"Mới lắp hôm nay 26/05/2025 mọi thứ đều ổn, máy êm, nhưng thời gian làm lạnh hơi lâu chắc cần phải trải nghiệm thêm 1 thời gian nữa, app điều khiển trên điện thoại hoạt động nhanh cách nhà 25km. Nói chung cũng ổn","1"
"Ra ngoài ko có điều khiển bằng wf dc nhe mấy ní.sao làm vd chạy ngoài đường điều khiển dc như đúng rui v.phải trùng mạng mới dc nhe","1"
"m mua hôm 10/5 nv dmx tu vấn rất nhiệt tình ok 10 sao luôn nhưng nv lắp thì trưa ok sai nhiều chỗ cẩu thả để m nhìn thấy bắt làm lại quá thất vọng chắc dmx hết nv lắp đặt rồi","0"
"Nhân viên lắp ráp thì ẩu tả. Ko hút chân không chỉ xả gas. Cũng không thử xì 4 đầu nối. Tôi xài lại dàn ống cũ khi lắp ống nối dàn nóng ko loe lại ống đồng. Để ốc dàn ống cũ vặn vào luôn không thay ốc mới tôi có nói bảo không sao. Được 1 tháng xì hết gas báo đã vào kiểm tra. Mua ngày 7/4/25 Nói không thấy chổ xì. Mà nói máy hết gas. Đợi báo bên đaikin xuống kiểm tra lại. Hẹn trước 72hDạ thưa mấy anh chị em còn đi làm kiếm cơm nữa chứ ko phải ở nhà chờ đợi mấy anh chị xuống bảo hành hẹn tới hẹn lui. Bên cty nên coi lại nhân viên lắp ráp.","0"
"Nhân viên lắp đặt làm việc cẩu thả, lần 1 nắp vít bé bị bung giá máy lạnh, lần 2 thì khoan bụi bay mù mịt.Khi lắp giàn nóng thì bảo máy mới không phải hút chân không, chỉ cần xả van khí, bảo mãi mới cầm máy hút không có đo áp suất hút 8p rồi rút ra luôn, hỏi sao nhanh thế thì bảo a nghĩ hút trong bao lâu. bẫy dầu có cảm giác k ổn so với tham khảo trên mạng nhưng k có chuyên môn nên k đánh giá đc.","0"
"Mình mới mua sản phẩm này , có khuyến mãi 2 năm bảo hành , làm sao để mình kiểm tra được thời gian bảo hành này vậy . Xin cảm ơn","1"
"Máy mua chưa được 1 tháng. Rất rất yếu, mở chỉa thẳng vào người 25 độ gió mức 3 vẫn nóng. Nếu là Pana sẽ lạnh cóng.Cân nhắc trước khi mua.","0"
