"data","label"
"Đã mới 2 tháng rồi.máy chạy êm xài tốt ngon.suốt ngày xuống tiết kiệm điện hơn nhiều","1"
"Máy lạnh dòng ftky này muốn kết nối điện thoại thì làm ntn ad","1"
"Cho mình hỏi quạt cục lạnh trong phòng lâu lâu cái nó ồ ồ lên là lỗi gì vậy. Mình để chế độ quạt mức 1234 điều bị có mức 5 thì quạt mạnh thì đở hơn. Rất khó chịu khi ngủ.","1"
"Thợ điện máy xanh kém quá. Lắp cái máy lạnh ăn thêm mấy trăm ngàn tiền ống đồng không biết phải bù thêm bn mét và thêm tiền cái kệ chống rung ồn mà giờ mở lên nghe dàn nóng kêu ồ ồ.","0"
"Máy mua chạy được hơn 1 năm cục nóng kêu như máy cày","0"
"Máy tạm thời sử dụng tốt.nhưng còn chưa hiểu về chi phí lắp đặt. Trong bill ghi rõ tặng dây điện từ giàn nóng đến giàn lạnh nhưng khi lắp lại tính phí.","1"
"Mua ở ĐMX mắc hơn bên ngoài và được tặng công lắp đặt. Nhưng mà thợ đến nhà và nói cần hàn 1 mối nối ống đồng và vệ sinh ống đồng lấy 500k. Tưởng vệ sinh thế nào chứ, ai dè xịt 1 hơi ga vào thôi và nói là vệ sinh xong rồi. Đã mua ở DMX nhiều món nhưng mà đây là lần cuối.","0"
"Máy lạnh ổn nhưng cục nóng lúc khởi động kêu rất to, có cách nào khắc phục được không ạ","1"
"Máy Lúc đầu chạy êm hết BH cục nóng block nó kêu như máy cày","0"
"Mới xài mấy tháng mà nó kêu nghe mà sợ luôn , cứ rồ rồ","0"
"Máy tốt nhưng dịch vụ tạm được.","0"
"Máy chạy êm ru rất tiết kiệm điện lun","1"
"Máy lạnh tôi mới mua gần 2 tháng mà không biết nó bị gì nữa tôi mỡ lên là tiếng gió nó kiêu lớn lắm mong bên dmx kiểm trả dùm","0"
"Đã dùng 2 tháng. Máy dùng tốt. Êm. Tiết kiệm điện. Lạnh","1"
"Xài rất tốt các bạn nên dùng loại này","1"
"Mo 21 lanh trung binh.lanh ko băng panasonic","0"
"Tôi mua điều hòa hôm 22/6/2024. Hiện cục nóng bị rõ điện, giây giật điện. Ngày 23/6 tôi có phản hồi việc đó. Hiện tại ngày 25/6 Bên ĐMX và Đaikin đang đổi lỗi cho nhau việc này. Chưa biên nào đưa ra hướng khác phục.","0"
"Để mình xài 1 thời gian mới biết ntn....","1"
"Tốt","1"
"Sản phẩm chưa có điểm chê. Chỉ có cánh đảo gió ko chỉnh được như ý muốn.","1"
"Máy chạy mạnh, êm, nhân viên tư vấn nhiệt tình.. rất đáng để lựa chọn","1"
"Máy xài tốt lắm ạ","1"
"Tôi trình bày tiếp vấn đề đã nêu. Gần 21h bộ phận kỹ thuật đã gọi điện nhưng do đi làm nên k nghe máy, sáng tôi gọi lại và nói lý do phải thanh toán êm 750k để di dời cục nóng đó.Đmx chỉ trả lời nhẹ nhàng là đmx k lắp đặt máy lạnh đó. Tôi rất rất rất bức xúc, do đó là bên đối tác đmx kêu vào lắp đặt.Tôi khuyên mọi ng sau này nếu có mua hàng đmx, thì1. K nghe theo tư vấn tự trả tiền lắp đặt cho bên đối tác của họ lắp.2. K chờ được kỹ thuật đmx thì nên mua chỗ khác chứ đmx nói chuyện vô trách nhiệm.3. Lỡ máy đã lắp mà cứ hư hao, thì chấp nhận r nói ng nhà k dùng hàng đmx chứ đừng gọi điện như mình, hao tiền + tốn thời gian.M","0"
"Cục nóng kêu khá to","0"
