"data","label"
"máy lạnh dùng đc 1 năm không thấy lạnh nữa gọi nhân viên dmx và hãng bảo hành thì thờ ơ không nhiệt tình còin thái đọ vs khách hàng","0"
"Máy lạnh chạy rất êm . Làm lạnh nhanh , tiết kiệm điện , có luôn chế độ lọc không khí và chống ẩm mốc thì quá là ok rồi .Mùa nóng này mọi người nên mua dòng máy lạnh Daikin này nha.","1"
"Máy chạy êm,làm lạnh nhanh..hài lòng nhất là vòg quay đồg hồ điện ..","1"
"Tốt","1"
"Máy chạy ổn. Có cái không hiển thị nhiệt độ trên máy lạnh, hiên trên điều khiển buổi tối sôi đèn để điều chỉnh nhiệt độ phòng. Quá xàm","0"
"Mua 2 tháng, cục nóng ồn quá","0"
"Oke","1"
"Tot","1"
"Điện máy xanh bảo hành rất tệ,hãng xác nhận lỗi lắp đặt nhưng k được bảo hành","0"
"Cần được bảo hành gấp","0"
"Máy chạy êm","1"
"Máy lạnh xài hơn 1 tháng thấy tốt","1"
"Gọi lên tổng đài để đặt lịch vệ sinh máy lạnh sao số đt nào cũng ko đc ạ","1"
"May lanh mua xai đươc tam 7 thang bi hôi, đa goi bên Tân Tâm xuông vê sinh va ca Hang xuông kiêm tra nhưng không khăc phuc đươc. Nha mua 2 cai cai bi cai không.","0"
"Máy lạnh rất tốt gió ra đều","1"
"Hai lòng","1"
"Tạm ổn. Vận hành êm, không nghe tiếng ồn.","1"
"Máy chạy tốt","1"
"Lắp đặt lúc mùa đông, lúc lắp đặt đã báo điều hoà lỗi nhưng dmx k đổi, cho kỹ thuật bơm lại ga . đợi thời tiết nóng thử lại. Hôm nay trời nóng bật máy lạnh 1 tiếng không lạnh. Rất bực mình . Liên hệ lại ngay cho tôi để xử lý","0"
"Hiện tại thấy ổn","1"
"Mua máy lạnh không ra hơi lạnh, đã thông báo và đã sữa chữa 3 lần nhưng không xử lý được , muốn hoàn tiền lại để mua máy khác mà không chấp nhận, mong ad xem xét lại","0"
"Rất OK e","1"
"Máy chạy tốt","1"
"Tốt","1"
"Sài rất tốt mát nhanh,máy chạy êm,chạy k phát ra tiếng,chạy như không chạy,máy tốt lắm","1"
"Rất tốt","1"
"Máy làm lạnh đúng với nhu cầu sử dụng. Và đang sử dụng tốt đang theo dõi nếu như có gì khác sẽ phản hồi sau","1"
"Rất tệ","0"
"Rất tốt","1"
"Máy chạy êm, làm lạnh nhanh, khử mùi tốt.","1"
"Rất tốt","1"
"Cục lạnh thì êm, cục nóng ồn lắm","0"
"Mới xài dc 1 tuần san phẩm tốt nói chung tiền nào của nấy. Nhân viên lắp đặt có chuyên môn tốt","1"
"Mới mua máy lạnh 2 tuần.nhân viên lắp sau giờ rớt cục nóng xuống đất luôn","0"
"OK","1"
"Máy kêu tiếng sôi nước ....","0"
"Máy này được tặng 2 lần vệ sinh gồm 1 lần hãng và 1 lần từ đmx vậy lần đầu thì bên này sẽ vệ sinh và mình tự liên hệ để được vệ sinh hay hãng/đmx liên hệ để vệ sinh và thời gian là bao lâu ạ","1"
"Rất tốt","1"
"Máy ok lạnh nhanh và sâu.hài lòng","1"
"Ok rất tốt","1"
"Ok","1"
"Máy ổn tốt","1"
"Máy dùng tốt mát nhanh thấy ổn áp","1"
"Rất tốt mà k có điểm nào chê ở thời điểm hiện tại","1"
"Máy hoạt động êm","1"
"Ok","1"
"Rất tốt","1"
"rất tốt","1"
"Sản phẩm của công ty rất tốt","1"
"Làm lạnh chậm, thiết kế k được đẹp khi gắn lên tường, Điều khiển dễ điều khiển","1"
"sp dùng tốt chưa thấy lỗi","1"
