"data","label"
"Máy chạy ổn","1"
"Rất OK.chi la khu vực mua hang k co qua tang cho khach mua nhiều áp","1"
"Máy lạnh xịn xò","1"
"Rat tot","1"
"Sản phẩm tốt","1"
"Tốt","1"
"Máy chạy êm, mát","1"
"Tốt và tiết kiệm điện thật","1"
"Khi lắp đặt nhân viên ko hút chân không tôi có thắc mắc 3 lần mới đc nhân viên trả lời là ko cần trong khi tham khảo ý kiến các ae thợ việc xả khí ko hút chân ko đối với máy lạnh daikin là sai kỹ thuật . Bắt 2 cái E ke mà cũng lệch , tự ý khoan vị trí lắp đặt cục nóng khi chưa có quyết định từ 2 phía . Khi nói quá thấp thì nói bên em chỉ hỗ trợ vị trí tầm đó vị trí lối đi . Máy chạy êm nhưng lâu lại có tiếng hú lớn bên bảo hành đã xác định máy lỗi báo sau 2 ngày đổi máy mới , tuy nhiên nay xắp đc 1 tuần . Mua hàng đmx nay đc chục năm tuy nhiên lần này thấy rất ko hài lòng . Mua cái máy lạnh hơn 24 triệu làm như bó rau ngoài chợ . Rất ko muốn nói nhưng vì quá bức xúc","0"
"Mới dùng thời gian ít nhưng hài lòng về chất lượng sp","1"
"Sản phẩm tuyệt vời êm ru mát lạnh","1"
"Sp tốt","1"
"Chạy rất êm.Tốt","1"
"Rất chuyên nghiệp","1"
"Sp dùng rất tốt","1"
"Rất hài lòng sử dụng của sản phẩm","1"
"Máy chạy em, làm lạnh nhanh","1"
"Máy chạy thì","1"
"máy chạy êm, làm lạnh nhanh","1"
"Tốt","1"
"Con bạn phòng mình nấu món ăn ngon lắm mỗi lần nó nấu ăn nó hay thêm một ít cà ri tương dầu vào để món ăn thơm ngon đậm vị hơn.","1"
