"data","label"
"Mua 2 máy nói bảo hành 1 năm của hãng và 1 năm của ĐMX nhưng khi bảo hành của Hãng thù gọi cả chục lần vẫn chưa có câu trả lời, hẹn hết ngày này đến ngày kia, đợi phải 3 tuần mới hỏi tiếp cần xử lý ko, điên quá bỏ tiền ra kêu thợ bên ngoài vô sửa luôn,","0"
"Máy lạnh chạy êm,cực máy do công suất lớn.Nhưng thợ đến ráp chỉ có 1 người nên làm thấy khó khăn quá,đục tường không được đẹp,ko có mũi khoan tròn.Dịch vụ hơi tệ","1"
"Rất tốt","1"
"Máy lạnh mát chạy êm","1"
"Mới Sd đc 11 ngày , thấy OK, máy lạnh chạy êm ,mát lạnh do công suất 2, 5 mà phòng mà phòng gần 30m2","1"
"Tốt","1"
"Rất tốt","1"
"Sản phẩm tốt","1"
"Lắp đặt nhanh nhiệt tình.","1"
"Điều hòa dùng tốt","1"
"Sản phẩm ok","1"
"Tốt","1"
"Máy mới lắp xong lúc 12h ngày 4/6 mà đến 14h máy chảy nước xối xả. Liên hệ nhân viên quay lại sửa, đến 18h mở máy lên lại bị chảy nước tiếp. Trong khi máy Panasonic đang dùng chưa bao giờ có vấn đề này. Nhân viên hỗ trợ kỹ thuật lại nói do đường thoát nước của gia đình bị dội ngược, nếu do đường thoát nước thì máy đang xài đã bị chứ ko đợi đến máy mới gắn mới bị chảy nước như vậy.Đề nghị Điện máy xanh đổi máy nếu máy bị lỗi chứ đừng quy chụp lỗi do đường nước nhà khách hàng.","0"
"Mới sử dụng thấy máy ok","1"
"Ko biết có tiết kiệm điện ko tại mới xài chưa đến tháng nên chưa biết","1"
"K thấy nhân viên tư vấn giá thấy mua online chênh nhiều so vs mua tại sthi","0"
"Nhân viên lắp đặt không được oke","0"
"ok","1"
"ok","1"
"ok","1"
"ok","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
