"data","label"
"Rất ưng","1"
"Tốt","1"
"Vừa lắp xong hiện ngay lỗi hết gas hoặc hỏng bố mạch, máy ko mát tí nào","0"
"Nhân viên lắp đặt vẽ thêm đề ăn tiền ngoài của khách hàng","0"
"Sản phẩm dùng ok","1"
"Sản phẩm dùng tốt, làm lạnh nhanh","1"
"Giao hàng nhanh","1"
"Chưa có nhiều time để nhận xét","1"
"Chất lượng sản phẩm tuyệt vời 👍","1"
"Máy chạy êm, làm lạnh nhanh, nv nhiệt tình","1"
"Ok","1"
"Sản phẩm rất tốt","1"
"Hà lòng","1"
"Ok","1"
"Mua máy lạnh Funiki inverter 2HP không có cái điều khiển. Lấp liếm thay thế 1 cái điền khiển khác mà không báo trước cho khách hàng. Đến khi khách hàng phát hiện ra mới thừa nhận. Báo lên Tổng đài nói chuyện và muốn có câu trả lời thì bên Điện Máy Xanh không có câu trả lời chính thức cho việc này ( dù là một công ty lớn mà một câu hỏi từ ban giám đốc xuống tất cả nhân viên không thể trả lời được câu hỏi của tôi) + hẹn 5-7 ngày sẽ có cái điều khiển. Hôm nay ngày 15/5/2023 chưa có cái điều khiển . Quá khinh thường khách hàng.","0"
"Chưa đánh giá được tiết kiệm điện","1"
"Tốt","1"
"Máy chất lượng kém. Dịch vụ điện máy xanh cũng như hãng cực kỳ kém. Mình đã hối hận vì mua hàng ở đây","0"
"Rất hài lòng","1"
"Mấy tốt","1"
"ổn","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","0"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
