"data","label"
"Sản phẩm mới lắp đã lỗi , bảo hành thì đợi mòn mỏi","0"
"Ăn bớt linh kiện cục nóng bọn nhân viên điện máy xanh số 5354 dốc lã Yên viên gia Lâm Hà Nội","0"
"Cục nóng kêu to quá","0"
"Máy chạy êm, bật 27 độ C mà lạnh trùm mềm luôn, chế độ ECO từ 6h chiều tới 6h sáng hôm sau mà còn chưa tới 1.4kW điện nữa. Ý là mình có dùng thêm tủ lạnh Panasonic đèn nữa đó. Chưa bao giờ thấy con máy lạnh nào rẻ mà tiết kiệm như con Hisense này luôn. Để xem dùng lâu có bền không.","1"
"Cục nóng kêu quá to","0"
"Máy lạnh tương đối ổn. ồn hơn con funiki cùng tầm giá nhưng lạnh hơn dàn nóng mạ mầu vàng có lẽ bền hơn vài con khác. Tóm lại là nên mua","1"
"Cục lạnh nhà em bị chảy nước ạ","0"
"Mua máy qua sử dụng 4tr8 bảo hành 23 tháng sử dụng quá tốt, chạy 18 độ khởi động tốn có 500w điện độ lạnh sâu. máy chạy cực im, chạy nguyên ngày không tốn bao nhiêu điện. độ bền 23 tháng bảo hành wa tốt","1"
"Mới mua mấy ngày giảm giá rồi máy chạy tốt tiết kiệm điện. Hơi ồn thôi","0"
"Mới mua 7tr2. Giờ còn có 7tr. Bực à nghe","1"
"Máy giá rẻ mà tiết kiệm điện ... quạt êm làm lạnh nhanh nói chung là đáng đồng tiền","1"
"","1"
