"data","label"
"Máy trong nhà kêu to . Ồn như dùng quạt hơi nước . Yêu cầu bảo hành tới kiểm tra lại. Mới dùng được 2 ngày","0"
"Xài được 2 tháng máy hư","0"
"Máy rất êm. Chỉ khi bật gió lớn quạt dàn lạnh mới kêu thoi. Tối ngủ bật chế độ ngủ im ru10 sao chất lượng","1"
"Máy làm lạnh nhanh, hoạt động ổn định, tiếng ồn vừa phải. Thiết kế đẹp, tiết kiệm điện ở mức ổn định và có thể tùy chỉnh. Điểm mình thích nhất là các sản phẩm của LG luôn có tích hợp điều khiển bằng điện thoại thông qua wifi giúp điều khiển và kiểm soát hoạt động của máy rất tốt, đo được nhiệt độ phòng hiện tạiNhân viên vui vẻ và lắp đặt chiều theo ý của khách hàng. Máy lắp rất chuyên nghiệp nhìn khá thẩm mỹ, tận tâm đến từng chi tiết. Nói chung lúc đầu xem nhiều bình luận khá tiêu cực nên thấy hơi đắn đo nhưng khi trải nghiệm thì thấy rất tốt.","1"
"Mình từng mua nhiều hàng điện máy tại DMX nhưng lần này khá thất vọng. Cửa hàng 168 Quang Trung GV thợ lắp quá tệ Cục nóng lắp trên mái tôn mà không hề cố định ốc trên mái tôn kiểu để hờ hững vậy thôi, tác động lực mạnh là đổ. Trong khi các cục nóng cũ nhà mình đều cố định rất chắc chắn trên mái. ống đồng đi bên ngoài trời mà không uốn cong xuống nếu trời mưa nước sẽ theo ống đồng chảy vào nhà.","0"
"Sử dụng được khoảng 8 tháng, máy hết hơi lạnh. Gần 1 năm, máy phun nước ra ngoài. Khi gọi điện bảo hành, nhân viên ĐMX xuống bảo trì nhưng đẩy qua hãng LG. Khi hãng LG xuống sửa thì nhân viên hãng đòi phí tháo lắp sửa 500k và phí sửa máy 450k trong khi máy vẫn còn hạn bảo hành.Qua lại giữa ĐMX và hãng LG gần 1 tuần vẫn chưa có kết quả. ĐMX nói hãng có chính sách bảo trì mới. Và qua lại vẫn chưa báo khi nào có thể bảo hành máy lạnh huhu.Trải nghiệm sử dụng và dịch vụ sau khi mua tệ.Giá như nhân viên tư vấn lúc mua cũng rõ ràng như lúc bảo hành mà đòi tiền như vậy.","0"
"Mới dùng 7 ngày đầu lạnh tốt, sau 7 ngày mở 25 độ k mát. Thợ rất ẩu và tệ, dù nhắc hút chân không 3 lần vẫn k chịu hút, nói là k cần thiết. Giờ đmx giải quyết như thế nào","0"
"Máy lạnh dùng tới thời điểm này là đã được hơn 1.5 tháng. Khả năng làm lạnh nhanh, dàn nóng và dàn lạnh hoạt động êm ái không ồn như đánh giá, máy lạnh có thiết kế đẹp, có app để quản lý giao diện đẹp dễ sử dụng, có thể mở máy lạnh theo lịch hẹn hoặc mở máy lạnh từ xa trước khi về đến nhà, có tính năng tự động làm sạch máy lạnh loại bỏ vi khuẩn nấm mốc, mùi hôi. Về máy lạnh mình rất hài lòng với tầm giá này. Về nhân viên của ĐMX mình không hài lòng. Không sử dụng bao tay khi lắp đặt, không che chắn tường bằng nilon nên sau khi lắp đặt, tường nhà mình và máy lạnh bị bẩn rất nhiều chỗ lau không ra ĐMX có video quảng cáo là che chắn khi lắp đặt, nhưng kỹ thuật lại không che chắn trước khi lắp. Nhân viên tổng đài ĐMX nói mình muốn khoan tường đẹp thẩm mỹ lỗ tròn thì phải thêm 300k còn không thì kỹ thuật sẽ đục tường truyền thống.","1"
"Mình lắp máy hôm 15/2. Nhân viên lắp máy làm xước sơn vỏ cục nóng nhưng không xử lý. Mình đã lắp sẵn ống, trả tiền lắp đặt và hút chân không nhưng khi thợ đến lắp vẫn phải trả tiền thêm tiền làm sạch ống đồng bằng máy hút chân không, đục 2 viên gạch để uốn ống đồng cũng phải trả thêm tiền.","0"
"Máy lạnh cứ bị kêu to mỗi lần mở gây tiếng ồn rất khó chịu ko thể ngủ được. Em mong ĐMX liên hệ giải quyết dùm em vì em đã mua gói bảo hành 3 năm","0"
"Chăm sóc khách hàng tệ, tư vấn 1 đường đến lúc bảo hành thì 1 nẻo","0"
"Mình mua máy lạnh ngày 5/1 đến nay mới mua về 23 ngày thì mở 25 độ k mát. Kêu thợ vô sửa hết 1 lần. Còn đến hôm nay mấy lạnh kêu như máy chà hỏng hiểu luôn","0"
"Máy lạnh xài ổn chỉ có remote cực kỳ nhanh hết pin. Không biết có lỗi gì không chứ mình ko hài lòng về cái remote chút nào.","0"
"Máy lạnh bật chế độ 25 độ chế độ gió full nhưng vẫn không lạnh... Vui lòng hổ trợ bảo hành","0"
"Cục lạnh kêu to, nhân viên bảo hành không nhiệt tình. Bảo hành 4 lần vẫn chưa sửa được.","0"
"Máy không lạnh. Mua máy được 5m ống đồng mà sao nhân viên kỹ thuật chỉ lắp 2m. Máy lạnh lắp mà có 2m ống đồng thì đúng tiêu chuẩn kỹ thuật chưa","0"
"Thấy nhiều người chê cũng hơi cân nhắcNhưng vẫn quyết định lắp máy nàyMay mắn là không quyết định saiMáy chạy êm, lạnh nhanhGiá lại tốt","1"
"Máy lạnh inverter nhưng tiêu thụ điện năng cao","0"
"Lạnh lâu, 16 độ vẫn ko mát, bảo hành kém","0"
"Máy tạm ổn","0"
"Máy làm lạnh khá nhanh...Mọi thứ đều ổnNên mua.","1"
"làm lạnh rất lâu, tuần đầu bật thì thấy rất ít hao điện khi bật 27 28 độ, qua 2 tuần thì chạy rất tốn điện nhưng vẫn ở mức nhiệt độ trên, bật 16 độ nhưng nhiệt độ trong phòng chỉ xuống tới 22 độ k thấy xuống nữa. Máy lạnh thao tác lúc nào cũng có tiếng cả không phải chỉ tiếng bật máy, nửa đêm mà tăng độ hay xuống độ thì cảm thấy tiếng hơi lớn, phải có nút tắt tiếng khi thao tác thì sẽ tốt hơn.","0"
"Cảm thấy lạnh ở chế độ 27.28 là không mát cho lắm phòng nhỏ","0"
