"data","label"
"Máy sài gần hai năm chạy êm re k có tiếng động k nghe quạt thổi luôn lạnh teo hết luôn 28 độ lạnh véo cục nóng chạy im re sát bên tường","1"
"Làm lạnh nhanh, cần kiểm chứng theo thời gian, xem độ ổn định của thiết bị","1"
"Cho tôi hỏi máy này có đảo ngang được không","1"
"Rẽ ngon","1"
"Máy làm lạnh nhanh. Tốt","1"
"Dàn nóng không được phủ lớp bảo vệ giống dàn lạnh","1"
"Sao người lắp không tư vấn vụ chiều dài ống đồng k dùng hết được hoàn tiền vậy Tôi lắp có 3m là xong còn free 2m đâu","0"
"Đẹp","1"
"nhân viên bán hàng làm việc quá tệ . tên người mua hàng yêu cầu sửa mà vẫn không sửa ,giao hàng k đúng hẹn k 1 cuộc gọi hẹn lại . khách hàng yêu cầu nhập đúng tên người mua hàng , hết lần này đến lần khác vẫn k sửa lại tên . thanh toán xong k chủ động xuất hóa đơn gửi cho khách .","0"
"Mới lắp đến nay chưa sử dụng nên chưa biết ntn","1"
"Đang mùa nóng, máy bảo hành mà gọi tới lui riết.Hôm nay hết ngày t3 rồi mà vẫn chưa dùng máy lại được, bảo hànhthua","0"
"K hài lòng mình trải nghiệm mái lành cũng nhiều nhưng chưa thấy máy lạnh nào mà mở lên lạnh chút là bị giực chạch chạch ngay cả vk ck mk chạm nhau cũg giật hãng xuống nói là do thiếu độ ẩm r kêu mk mở cửa sổ mk cũng mở cả ngày cũng bị bước chân xún gạch là giật chạch chạch lun r đmx vô coi cũg nói thiếu độ ẩm kêu bỏ thau nước trong phòng r mua lun cái mái phung sương lung cũng k hết đã đổi cái t2 r vẫn bị làm đủ cách mà hãng và dmx đưa ra nhưg vẫn bị thực sự mk hối hận h k biết làm s chán thực sự","0"
"Máy kêu to có tiếng lạch cạch khi chạy","0"
"Máy lạnh làm lạnh nhanh, máy chạy êm mượt, không tiếng ồn, mình cảm thấy rất hài lòng về sản phẩm Máy có chức năng lọc bụi, khử mùi, hút ẩm, tiết kiệm điện mà giá lại quá hời mọi người nên mua nhé","1"
"Máy mau lạnh, máy êm không ồn, rất nên mua","1"
"Ở chế độ eco máy lm lạnh yếu. Chỉnh 25 mà đo nhiệt độ phòng là 27, 22 thì 25. Chỉnh chế độ gear thì lm lạnh oki hơn. Chế độ làm lạnh nhanh có như ko, cũng lạnh BT ko nhanh hơn nhiêu.","0"
"Mua về chứ cũng có dùng mấy đâu.. nên cũng chưa trải nghiệm hết thế nào.","1"
"Tốc","1"
"Rất hài lòng","1"
"Ổn định","1"
"Máy lạnh chạy êm rất tiết kiệm điện với các chế độ tiết kiệm ieco máy tự thiết lập tiết kiệm điện hoặc tự chọn 75% hoặc 50% công suất mình xài hơn tháng rồi mới đánh giá thực sự rất tiết kiệm điện","1"
"Máy lạnh mát","1"
"Kêu hơi to nhưng mát nhanh, khi đủ nhiệt độ thì chạy êm ru. Rẻ nhưng nhiều tính năng thông minh. Hàng ok.","1"
"Mới mua, xài đang thấy ok","1"
"Máy tốt","1"
"Ổn","1"
"Tốt","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","0"
"","1"
"","1"
"","0"
"","1"
"","1"
"","0"
"","1"
