"data","label"
"Dàn nóng kêu hơi to, nhân viên lắp đặt không hút chân không à","0"
"Dàn nóng cực kỳ ồn, đôi khi còn chảy nước","0"
"Thấy mọi người đánh giá là máy rất ồn , ồn ở đây tôi không biết mọi người đánh giá là cục nóng của nó ồn hay máy lạnh trong nhà lúc chạy phát ra tiếng ồn chứ tôi thấy máy chạy im ru không nghe tiếng gì luôn còn cục nóng nó ở ngoài phòng mình đã cách âm rồi để ý gì nó","1"
"biểu tượng wifi trong remote máy lạnh dùng để làm gì","1"
"Ban đâu vô xem đánh giá của MN, thấy để máy ồn, kêu như máy cày nên mình cũng có e ngại khi mua máy.Cảm nhận sau khi mua và test máy cả ngày. Máy chạy êm ru, làm lạnh nhanh có thể do máy kêu to là do mn cài đặt chế độ quạt lớn nên nó kêu lớn gây ồn, so với dòng shart nhà mình đang sử dụng thì nó êm hơn nhiều. Với nhiệt độ 26, 2 đứa nhỏ nhà mình khen mát quá trời. Về chất lượng thì phải 1 thời gian sử dụng thì mới biết máy như thế nào. Trước mắt mọi thứ đều ổn áp ok. Nhân viên cũng nhiệt tình, khoan đục tường mình sợ bị bụi phòng, khiêng đồ ra ngoài, họ nói k cần khiêng đồ đâu họ hứng bụi từ lúc khoan tường, k có miếng bụi nào luôn họ làm gọn gàng , sạch sẽ. Nói chung máy ở tầm giá này khá là ổn áp rồi nhé","1"
"Máy ồn như máy cày, mới dùng có hơn năm chịu không nổi","0"
"Tôi có mua vào tháng 5 máy sử dụng rất ok, lúc lấp đặt thợ bên điện máy xanh có báo với tôi là 7m dây đồng tôi vẫn ok trả tiền 7m dây đồng đó nhưng khi tôi chuyển đi tháo máy lạnh đi thợ tháo máy lạnh lại báo với tôi là chỉ có 3m dây đồng vậy còn 4m dây đồng đó đi đâu Sao sự việc như vậy thì tôi nghĩ tôi là 1 trong rất nhiều người bị như vậy. Đến bây giờ tôi vẫn không tin được nhân viên trong điện máy xanh lại đi làm như vậy với khách hàng của mình. Tôi vẫn còn giữ sdt và thông tin chuyển khoản cho việc thanh toán lắp đặt và tiền dây đồng của ngày hôm đó. Mong điện máy xanh xem lại nhân viên của mình, tôi không đánh đồng tất cả nhưng những nhân viên như vậy ảnh hưởng rất xấu đến cả tập thể lẫn cả công ty","0"
"Rất không hài lòng, đường dây của cục nóng máy bị chảy nước, báo DMX qua bảo hành thì nhân viên kỹ thuật báo không xử lý được, do môi trường xung quanh và rất nhiều máy bị vậy, máy lạnh phun nước ra thì báo không được chỉnh chế độ auto, do môi trường nhà mình không hợp.","0"
"dàn lạnh chạy rất ồn dù xử dụng nhiệt độ thấp và mức quạt nhỏ nhất, báo hãng thẩm định lỗi bảo do dòng này như vậy , trong khi các hãng khác lại không như vậy hàng xử dụng 1 tuần","0"
"Xài rất oke ạ giá cã hợp lý","1"
"Tốt 5 sao","1"
"Ok","1"
"Máy chạy 1 lúc rất êm, 1 lúc chạy vù vù khá bị ồn. Nhờ tư vấn hỗ trợ giúp em","0"
"Máy điều hòa Midea này rất là tốt, lạnh ve kêu, máy chạy rất là êm.Mn nên ủng hộ.","1"
"Mình đã dùng 2 con,rất tốt","1"
"Rất tốt","1"
"Tôi đã gọi bảo hành vì máy kêu to. Mà hẹn k thấy đến","0"
"Rất ô kê","1"
"Dùng rất tốt trong tầm giá","1"
"Rat tot","1"
"Máy chạy ổn trong tằm giá","1"
"Bật 26 độ mà lạnh run người","1"
"Ọk","1"
"Máy làm lạnh nhanh, chạy khá êm nhe","1"
"Nhân viên bỏ qua bước hút chân không cho máy lạnh việc này làm ảnh hưởng đến độ bền của máy hi vọng bên dmx sẽ khắc phục","0"
"Máy chạy êm ru","1"
"Sp tốt mọi người nên mua ạ","1"
"Dùng ok, làm lạnh nhanh, phòng 15m2 để 27 mà rét run.Tuy nhiên, điều khiển có độ trễ, mức điều chỉnh là 1 độ C, giá kể mà 0.5 độ C thì hay hơn.","1"
"Góc tâm sự Nói về chất lượng thì điện máy nào cũng như nhau. Xưa nay ĐMX nổi tiếng là bán hàng đắt nhưng chế độ bảo hành bảo dưỡng thì rất ok. Nhưng bây giờ đã khác giá thì vẫn bán đắt nhưng chế độ bảo hành phục vụ khách hàng quá tệ, chậm trễ trọng việc sủa chữa bảo hành , hẹn ngày này qua ngày khác rất bức xúc có lẽ sẽ chuyển qua một siêu thị điện máy khác ủng hộ...","0"
"Máy dùng rất ok nhé","1"
"Ok","1"
"Rất tốt. Máy chạy êm. Mát lạnh luôn.Mình đọc review về bên lắp đặt thấy ko cẩn thận lắm nên mình thuê bên ngoài lắp đặt, họ lắp đặt kỹ và rất chỉn chu.","1"
"máy lạnh ổn nhưng mà đợt thợ bên đmx lắp còn vẽ mình bơm ga vào vệ sinh ống đồng do ống đồng vô nước ống đồng chủ nhà lắp âm tường sẵn và có bịt đầu lại rồii, bị chạy nước vào trong phía phòng do nước thấm qua lớp quấn bên ngoài chứ ko p chạy trong ống đồng báo giá 300k rồi còn bảo ko vệ sinh ống đồng bằng gas sợ máy lạnh chạy tg sẽ hư. Xong t cũng đồng ý vệ sinh, t lén nhìn lên mái nhà xem vệ sinh như nào thì thấy lấy bình vô gas máy lạnh bơm vào chưa tới 2s, lúc này t thấy kỳ rồi mà lỡ rồi nên ko nói gì thêm, sau t hỏi người quen làm bên điện lạnh thì mới biết bị lừa, t định đánh giá lên đmx mà do lu bu rồi quên, tới nay lướt thấy 1 bài phốt về máy lạnh t mới nhớ, đmx nên quản lý ctv bên tận tâm lại, không quản lý được thì dẹp dịch vụ tận tâm đi, 300k ko đáng là bao nhưng vẽ vời lừa gạt là t ko thích.","0"
