"data","label"
"Máy chạy êm, mát,remote có nhiều chức năng, nhưng do remote chung, nên dùng được vài chức năng chính thôi.cục nóng chạy cũng êm ái lắm","1"
"Tôi lựa chọn sản phẩm của ĐMX để tri ân lại sự phục vụ của hệ thống BHX trong suốt dịch Covid 20212022 ở khu vực Hiệp Phước Nhà Bè. Máy lạnh 12.000 BTU Nagakawa Inverter 1.5 HP đã sử dụng đêm qua, chạy chế độ 27 độ C mà lạnh ngọt luôn. Thợ kỹ thuật chi nhánh Hải Phòng rất chuyên nghiệp, lắp xong bàn giao chạy thử êm ả còn dọn dẹp sạch sẽ nữa. Đó là sản phẩm của ĐMX với hệ thống quản lý tốt. Rất ghi nhận. Trân trọng.","1"
"Không lắp vòi nước hẹn lên hẹn xuống cách làm việc chán quá","0"
"Cục nóng chảy nước","1"
"Nhận lời giờ thực hiện lắp đặt 1 đằng, ghi chú hệ thống các kiểu, xong rồi NVKT báo lại 1 nẻo, viện lý do này nọ trong khi khách thì chờ, như kiểu giỡn mặt, xem khách như trò đùa Cả 1 quy trình làm việc không nghiêm túc, quá mất thời gian của khách.","0"
"Mình mua 5 máy nhưng 2 máy không lạnh, bật lên cả nữa ngày mà vẫn không lạnh, gọi lên bảo hành thì nói cho kỹ thuật xuống, sau khi kỹ thuật xuống thì báo máy không lạnh rồi báo kỹ thuật hãng, sau khi kỹ thuật hãng xuống thì lòng vòng không xử lý đổi mới cho mình được, sau gần 1 tuần thì tổng đài gọi lại báo là máy bình thường phương án giải quyết là mua thêm quạt gió hoặc thay máy lạnh bự hơn, cái phòng có chưa đến 10m2 thôi, rất thất vọng cách làm ăn của dmx, xin chào vĩnh biệt luôn.","0"
"T mua máy hôm nay 14/5 tròn một năm mua máy , từ lúc mua đến nay , nay lạnh hư rất nhiều lần , chỉ một vấn đề là máy lạnh không lạnh , đã thông báo bên dmx xuống kiểm tra nhưng kĩ thuật bên dmx không phát hiện ra lỗi không có trình độ chuyên môn cũng cho vào làm t đã đòi đổi máy mới bên kĩ thuật nói k phát hiện lỗi nên không đổi , nhưng kĩ thuật dmx k đủ chuyên môn để kiểm tra, cuối cùng nó hư nó hết gas lủng gì đó trong máy lạnh , nó k hoạt động thì bên hãng mới qa kiểm tra phát hiện ra lỗi và sửa chữa , sau đó nó vẫn k lạnh sâu chỉ mát thôi , t đã yêu cầu qa kiểm tra thì báo sai địa chỉ rồi k một ai gọi hẹn giờ để qa kiểm tra hay sữa chữa và đưa ra giải quyết , đợi t gọi t chửi thì chỉ biết xin lỗi và không đưa ra cách giải quyết , tôi khuyên không ai nên mua đồ của dmx nữa , làm việc k rõ ràng , trình độ chuyên môn kém , xử lý vấn đề quá yếu kém , máy lạnh chảy nước tè lè , chạy như kêu um sùm , không ai nên mua đồ của dmx nữa qá tệ rất rất tệ","0"
"Cảm nhận là ngon hơn panasonic sau 7 tháng sử dụng mà giá chỉ hơn 1/2 rất đáng mua","1"
"Máy thì ok, mát lạnh dù mở 29 độ trong phòng 17m2.Về nhân viên lắp thì ok, tuy nhiên lắp cục nóng quên tháo miếng giấy bảo vệ phía sau cục nóng gào hơn máy cày đến mức mình ngại mở máy.2 ngày sau mình tự mua thêm cao su giảm rung chân về tự leo lên lắp mới thấy miếng giấytháo giấy ra cục nóng vẫn nhảy múa và kêu kha khá.sau đó mình lắp thêm chân cao su thì máy chạy êm re. rút ra bài học, nên kiểm tra cả cục nóng và lạnh xem còn miếng bìa giấy bảo vệ nào chưa tháo không, ngoài ra nếu tường yếu hoặc pass cục nóng mỏng muốn êm thì bỏ thêm vài chục tự gắn thêm 4 cục cao su bao ngon","0"
"Sản phẩm rất bèo. Nếu phòng 9m2 thì ok. Nhân viên vào lắp phòng mình 25m2 nói xài ok nhưng trời nóng thì nóng, đến đêm thì lạnh máy 1.5hp, dạng lạnh tâm ổn thôi. Nên qua điện máy chợ Lớn mua. Bên này bèo. Sdt mua xxxx266164 mua 2 cái lận nha. Đã mua hàng và bèo. Anh em nên cân nhắc. Nhân viên kiểm tra thì đến dạng đối phó. Điện máy xanh nên kinh doanh điện thoại thôi","0"
"Làm ăn gì hứa vệ sinh máy lạnh mà k thấy mặt ai trông khi máy còn 2 lần vệ sinh","0"
"mới sài dc 2 tháng, dàn lạnh chạy êm mát lạnh, chỉ có dàn nóng hơi ồn 1 xíu. Đáng mua","1"
"chạy rất êm , và mát lạnh . còn tiết kiệm điện nữa","1"
"Rung ồn như 1 cái máy cày luônBảo hành 1 lần r vẫn vậy","0"
"Rất ok","1"
"Máy rất tệ. Mua xài được hơn 1 tháng bị lỗi điện báo xử lý hơn 10 ngày chưa xong. Gọi lên thì hứa hẹn. Bán hàng thua kiểu chợ đen","0"
"Mát nhanh chạy êm","1"
"Mua hàng bên BHX thì rất ok Siêu thị hàng hoá bình dân, các bạn nhân viên tư vấn quà tặng rất nhiệt tình. Hàng điện máy rất tốt Các anh chị từ nhân viên tư vấn, nhân viên lắp ráp đều rất nhiệt tình, chi tiết Cảm ơn vì dịch vụ và con người của công ty này Sẽ ủng hộ liên tục","1"
"Hiện tại máy chạy êm , có lúc nghe tiếng lạch cạch trong cục lạnh nhưng chưa tìm nguyên nhân Tất cả còn lại ok","1"
"Máy hoạt động ổn định, êm, dòng tiêu thụ điện khoảng 23 Amp khi đúng nhiệt độ cài đặt.","1"
"Rất tốt.","1"
"Dàn nóng khá ồn. Làm lạnh tốt","0"
"sử dụng hơn 2 tháng vẫn ok,cục nóng có độ ồn khi mở hết công suất,mở thấp hoặc trung bình là sử dụng dc rồi,28c vẫn mát lạnh","1"
"Mát nhanh, tiết kiệm iverter, 1 điều hòa và 1 quạt bật 10 tiếng buổi tối hết 3kwh, quá rẻ cho sự hoàn hảo","1"
"Đang bị rò nước","0"
"Mình mới mua đc 1 tuần muốn đổi sang hãng khác có đc ko,cần làm j để đổi","0"
"Tạm đc","0"
"Rất tốt hài lòng","1"
"Mới chạy để lên chưa biết được","1"
"Chưa được tốt lắm","1"
"Máy mát lắm ạ","1"
"Máy rất ồn chạy rất kêu","0"
"Rất oke","1"
"Máy lạnh tốt giá hợp lý. Làm lạnh nhanh và độ ồn thấp . Cho 4 sao vì dịch vụ của đmx hơi tệ, mua máy 12.000 btu mà giao nhầm cục nóng 9.000 . Nhân viên lắp đặt thì phải nhắc nhở mới chịu hút chân không. Treo cục nóng bị nghiêng nhìn hơi thiếu thẩm mỹ","1"
"Trưa mở 3 tiếng 11h đến 14h 8kí điện.. tối mở từ 7h tới 0h 3 kí điện.","0"
"ok","1"
"Mua được 1 tháng máy ko làm lạnh được gọi bảo hành cả tuần chưa khắc phục được. Chán","0"
"Cục nóng chạy kêu ồn,lắp ráp kết nối ống đồng nào cục nóng bị tươm nc nhỏ dọt,gọi lên bảo trì thì hẹn này hẹn nọ .tập đoàn lớn,liên kết với ĐMX bảo trì mà toàn dắt ta đi vòng vòng hẹn r hẹn,mọi người hãy xem xét lại trước khi mua hãng này nha..quá tệ.","0"
"Ko mát . Máy yếu","0"
"Mát lắm","1"
"Cục nóng bị rỉ chảy nước.","0"
"Máy lạnh hao điện vượt quá công suất của NSX công bố. Tôi muốn đổi sang máy khác có được không Nhờ liên hệ lại","0"
"Máy chạy êm , làm lạnh nhanh , dễ sử dụng và điều chỉnh","1"
"Máy dùng tốt nhân viên bán hàng và giao hàng lắp đặt đúng hẹn và nhiệt tình.","1"
"Ok","1"
"Máy chạy ngon ,lạnh lắm ,chỉ có điều là cục nóg kêu hơi ồn","1"
"Sản phẩm dùng tốt,lắp đặt nhanh chóng,chức năng ok","1"
"Tốt","1"
"Ok tốt","1"
"Tốt","1"
"Gió cục lạnh hơi kém","0"
"Ok tốt Đã mua 2 cái hãng rồi","1"
"máy chạy êm lạnh nhanh","1"
"Good","1"
"Mua cái máy lạnh mới có 2 tháng. Bị lỗi k lạnh. Gọi lên bảo hành của đmx. Cho người xuống coi thì nói lỗi do cục nóng. Hẹn chuyển qua hãng giải quyết. Gọi hẹn trc ngày 15 sẽ cho ng xuống. Rồi hẹn qua 16. 16 thì gọi kêu gọi lên tổng đài bảo hành để bên bảo hành gọi hãng. Đi đường vòng rồi là không có ai giải quyết. Muốn bán 1 lần rồi bỏ khách đúng k","0"
"Hơi ồn. Phòng nhỏ cũng nhanh lạnh. Sài lâu dài mới bk như thế nào. Nhưng thấy mở ngày 45 tiếng mà cũng thêm khoản 45 ký điện ngày","1"
"Không biết sản phẩm có lỗi không mà thấy cục nóng hơi ồn","0"
"Máy lạnh hoạt động tốt, làm lạnh nhanh, vận hành êm ru nha, điện năng tiêu thụ ok. Nói chung ổn áp nha. Sau khi dùng 2 tuần chưa có điểm gì chê hết.","1"
"Làm lạnh nhanh, máy khoẻ, dùng rất ok","1"
"Rất ok","1"
"Máy dùng tốt chạy êm , nhưng hơi tốn điện","1"
"Đặt mua ngày 10/5, hiện giao ngày 13/5 trước 18h hôm nay rồi rốt cuộc cũng chẳng thấy giao ... làm ăn như vậy không tôn trọng khách hàng lần đầu cũng như lần cuối hủy đơn sớm dùm giao hàng mà hẹn tới hẹn lui thì dẹp tiệm đi","0"
"Mua rất nhiều sp bên đmx. Lần này thấy quá tệ. Nagakawa quá tệ","0"
"Máy lạnh mới sử dụng chưa biết tốt không, dành 1 sao cho dịch vụ bảo hành, máy lắp mới 1 ngày có vấn đề đường ống đồng gọi tổng đài hôm 05.5 do có việc nên tôi hẹn đến trươc 18h 11.5 đặt trước gần cả tuần kiểm tra nhưng đến ngày thì nhân viên gọi lại nói kẹt lịch hẹn qua trước 12h ngày 12.5 khẳng định lại trước 12h 12.5, nhưng đến trước 12h 12.5 vẫn không có ai liên hệ gọi tổng đài hỏi thì nói hẹn trước 16 trong khi tôi đã nói là chỉ có thể trước 12h, nhân viên trực tổng đài nói chuyện không chuyên nghiệp,thiếu có trách nhiệm, bộ phận phân công kỹ thuật làm việc không logic","0"
"Máy lạnh chưa dùng. Do nv hay đối tác ĐMX quá tải đơn. Xử lí vấn đề rất tệ. Biết là quá tải nv k kịp. Nhưng gọi 1063 từ 2 tây hẹn lần lượt tới 7 tây. Đó giờ toàn mua hàng DMX mà lần này phải nói tệ. Đã nói di dời máy lạnh để nhà sửa chửa. Đến khi nhà sửa rồi mới vô dời thì biết máy lạnh có dùng tốt hay k.","0"
"máy lạnh dùng tốt","1"
"Cục nóng bên ngoài chạy tiếng rất lớn Có thể khắc phục giúp tôi","0"
"diện tích 30m2 dùng oke","1"
"Lạnh nhanh. Cục nóng hơi ồn hơn các hãng khác... nhưng cốt lỗi là tiêu thụ điện hơi bị nhiều... mọi người mua nên cân nhắc...","0"
"Chạy cũng mát mát nhưng chưa biết tiêu thụ điện ra sao vì mới mua","1"
"rất OK","1"
"Máy làm lạnh nhanh, cục nóng kêu không quá to, với giá tiền trên thì chấp nhận với phân khúc sản phẩm này.","1"
"Máy lạnh dùng không tốt. Mở 29 độ mà lạnh run luôn.","1"
"Dịch vụ yếu kém, sản phẩm dõm, lần cuối cùng mua hàng của ĐMX, mới mua lắp chưa đc 30p nước chảy ướt tường kêu nhân viên quay lại sửa thì không được, phải gọi tổng đài cứ hẹn lên hẹn xuống, nhân viên bảo đường xa, thái độ kì cục, bán chỉ biết lấy tiền là xong, sau này sẽ không mua bất cứ thứ gì của bên này nữa.","0"
"ok","1"
"Lúc đầu xem nhiều đánh giá thấy chê quá cũng lo ko dám mua nhưng cuối cùng quyết định mua đại xem sao. Máy hoạt động tốt hơn mong đợi, mua chục ngày rồi máy đang dùng tốt, làm lạnh nhanh. Tốn điện hay không cũng do cách mình sử dụng thôi, dùng nhiều hay ít, quạt mạnh hay yếu, không gian sử dụng nóng quá nóng như gần mái tôn hoặc nơi tỏa nhiệt nhiều làm sao ko hao điện được. Mở 16 17 độ cả ngày tốn 15 20kg điện là chuyện đương nhiên rồi, có inverter cỡ nào cũng chỉ tiết kiệm một phần nhỏ thôi. Nhân viên bán hàng nhiệt tình, vui vẻ, thợ lắp đặt có tâm, chuyên nghiệp, vui vẻ, rất hài lòng. Mọi người cứ mua mà dùng, đọc đánh giá cũng có phần hoang mang thật nhưng hàng điện tử cũng có cái này cái kia, đâu phải cái nào cũng hư, cũng lỗi.","1"
"Cục lạnh hơi ồn","0"
"Cục nóng hơi ồn kỹ thuật đi day còn rò nước","0"
"Chất lượng sản phẩm bình thường, dịch vụ lắp đặt tốt, dịch vụ giao hàng quá tệ","0"
"Tốt nhân viên tư vấn nhiệt tình dễ thương","1"
"Máy mua từ ngày 16/4 đang sử dụng bình thường đến nay cục lạnh bị chảy nước đầy nhà, tôi cần hỗ trợ kỹ thuật từ DMX","0"
"Giao hàng không chỉn chu. Tôi đặt hàng và hiện tại đã trễ cả tiếng rồi chưa thấy ai gọi giao hàng cho tôi. Đặt gần cả tuần rồi từ mùa nóng đến giờ sắp sang mùa mưa rồi vẫn chưa có dấu hiệu giao hàng","0"
"Mat và ko có tiếng ồn","1"
"Làm lạnh tốt, có nhiều chế độ tuỳ chỉnh khác nhau","1"
"Khá lâu mới lạnh được","0"
"Ổn","1"
"Lạnh nhanh đều","1"
"Tối","1"
"Nó báo lỗi v xong cái cục nóng tự ngắt luôn..đang chạy ngon lành","0"
"Máy làm lạnh tốt nhưng cục nóng khi hoạt động có tiếng ồn ..","0"
"Ok ngon bo re","1"
"Mới dùng làm lạnh rất ổn, 28 độ đêm lạnh cóng, chỉ cục nóng hơi kêu","1"
"Mình mới lắp điều hoà, mà có hiện tượng đọng sương ở phần nối dây giữa giàn nóng và giàn lạnh, gọi bảo hành thì mấy ngày chưa được, lắp ngày 25/4/2024","0"
"Để là máy lạnh inverter tiết kiệm điện nhưng lắp đặt và sử dụng từ ngày 18/4 đến 30/4 mới 13 ngày mà điện tăng 150kWh. Tôi muốn thay đổi ví trị của cục nóng, không biết bên ĐMX có hỗ trợ lắp đặt lại không ạ","0"
"Sài được hơn tuần khá ok và hài lòng trước có sài 1 ngựa máy cơ dòng này rồi nên nên mua mà chả lăng tăng nhiều và quả thật tiết kiệm điện máy lạnh mát nhanh bật 29 là lạnh đắp mền rồi thế nên mở 8 tiếng chỉ mất tầm 2 kí điện thôi nhân viên lắp đặt dmx cũng hòa đồng vui vẻ tư vấn và giải thích thêm cho mình nhiều thứ","1"
"Mới mua được 1 tháng nhưng 2 ngày hôm nay mở 1 tiếng k thấy lạnh , chỉ có hơi gió , cục nóng khá ồn . Nhờ bộ phận bảo hành liên hệ hỗ trợ ạ","0"
"Dàn nóng hơi ồn.. Còn lại mọi thứ tạm ổn","0"
"Máy chạy rỉ nước cục nóng, nhân viên không hút chân không khi lắp máy. Có hỏi thì bảo không hút thì máy không sao","0"
"Dùng OK ạ","1"
"Tạm thời chưa có vấn đề j sài 1 thời gian mới biết kết quả","1"
"Máy làm lạnh nhanh, chạy êm, tiết kiệm điện","1"
"Tốt","1"
"Mát tiết kiệm điện","1"
"Cục nóng chảy nước từ lúc mới lắ tới giờ","0"
"Dùng ok.nhân viên lắp đặt nhanh.nhiệt tình","1"
"Nếu mình muốn thêm dịch vụ lắp đặt thì liên hệ sao ạ","1"
"Cho e hỏi lúc em đặt máy lạnh em quên chọn các dịch vụ đi kèm tại sao giá cũng như vậy ạ","1"
"Ok phết","1"
"Tốt","1"
"Phiền cho người kiểm tra giúp mình. Lắp đặt ngày 12/04. Hôm nay mở không có chút không khí nào ạ.","0"
"Máy làm lạnh ổn nhưng có chạy nước ngoài cục nóng.mong có nv tới xem giúp","1"
"ok","1"
"Máy sử dụng êm, lạnh đều nhưng không lạnh bằng các thương hiệu khác nếu cùng nhiệt độ. Nhân viên lắp đặt thì quá tệ","0"
"OK","1"
"Sản phẩm tốt , thiết kế hiện đại","1"
"Máy mới mua mà sử dụng 8 tiếng 10 11kg điện ngày . Gọi cho điện máy xanh cứ kêu nhân viên xuống lắp kiểm tra mà k thấy ktra gì hết xuống cứ dòm dòm r đi lần sau gọi xún không thấy gé ktra nói bên hãng xún kiểm định đổi máy mới chán điện máy xanh làm việc quá","0"
"Mua đồ ở đây phải bắt nó viết cam kết nếu không mất tiền mà còn thêm tức tôi đã và đang bị","0"
"Máy làm lạnh nhanh, lạnh sâu, có đọc đánh giá của người mua trước không lạnh...nhưng tôi thấy máy lạnh nhanh lắm ạ, tôi ở nhà trọ có đều dmx mướn thợ ngoài ráp","1"
