"data","label"
"Tệ hơn daikin. Cục nóng chạy kêu khó chịu","0"
"Nói thì hay lam trả ra gì Mua rồi lắp đặt vòi vĩnh thêm 1tr","0"
"Máy mát kém, làm mát lâu và đặc biệt là không lạnh được, mát vùng có gió thổi ra thôi, đi ra khỏi vùng gió thổi là nóng vã mồ hôi luôn, thợ lắp đặt chưa nhiệt tình dù nhà mình đã bồi dưỡng thêm cho nhưng làm vẫn không đến nơi đến chốn, được đúng cái khâu mua hàng là hài lòng","0"
"Máy kêu to , tần suất kêu to thất thường .","0"
"Mình mua từ tháng 1/2025, được vệ sinh máy miến phí bao nhiêu lần ạ","1"
"Chỉnh ok hết chỉ quạt nhưng k có hơi lạnh chạy hơn 30p vẫn k lạnh máy 1.5 mã phòng 7m2","0"
"Xử lý sự việc quá rờm rà, các bộ phận không đồng nhất, gây ảnh hưởng đến người muaDịch vụ ĐMX đến giờ quá tệ","0"
"Mn chuẩn bị mua máy nên cân nhắc kỹ, thợ dmx làm rất ẩu, đặc biệt ai mà bắt vào ban đêm, dây nguồn điện thì tận dụng những đoạn ngắn lại với nhau, lắp xong khách bảo thì mới hút chân không, dây đồng 5m nhưng lắp thực tế có 3.5m, phần dư ra thì không nói gì, đã mua và sau dùng một tuần độ lạnh giảm quá nhiều. Lúc trả máy thì đòi lại đầy đủ phiếu mua hàng, đa số mn đều vứt, không có thì trừ vào tiền máy trả quá vô lý","0"
"Mới lắp sd ok, nhưng chạy chưa được 1 tháng cục nóng chạy ồn, phiền hàng xóm quá.","0"
"Thấy hẹn buổi tối là đã e ngại thi công lắp đặt không đảm bảo rồi, giờ khoan xuyên cột như này ảnh hưởng cấu trúc toà nhà. Mấy vấn đề này bên DMX phải đào tạo cho nhân viên chứ","0"
"Nhân viên lắp đặt căn thận sao a ko có gói bảo hành 4 năm và về sinh máy 8 lần","1"
"Máy không đủ lạnh, đã gọi kỹ thuật ĐMX tới kiểm tra nhưng chưa tìm được vấn đề","0"
"Tôi mua máy lạnh Panasonic model CSPU12AKH8, mua thêm gói bảo hành 669.000 máy bảo hành đến năm 2028. Tháng 12/2024 hư lần 1 hãng Panasonic xuống kiểm tra chưa phát hiện lỗi nạp ga miễn phí, tháng 02/2025 hư lần 2 hãng Panasonic kiểm tra phát hiện xì dàn lạnh và thay mới dàn lạnh nạp lại gas. Ngay 31/3 hư lần 3 hãng kiểm tra báo nếu ko phát hiện lỗi thì mất phí 1.050.000. nạp gas. Thất vọng chất lượng máy lạnh Panasonic, ko hài lòng long cách bảo hành chậm chạp và rất vô lý . Mong hỗ trợ đổi sp khác.","0"
"Mình xài đc 4 tháng lúc đầu khởi động hơi ồn chạy xíu im ru","1"
"Cục nóng chạy được một lúc lại kêu xèng xèng.","1"
"Sau mở lên khoảng 15s mới bắt đầu chạy v","0"
"Đã mua một máy PU12AKH8 chiếc AC wf Pana thứ ba tại đây, phục vụ và lắp đặt tốt, đặc biệt là seller Lê Văn Hiệp đã hỗ trợ rất tận tình và trách nhiệm","1"
"Cục nóng hơi ồn","0"
"Cục nóng rất ồn","0"
"Máy lạnh dùng ok ..buồn là thợ ko hút chân không mình mới lắp dx 2 ngày","1"
"Máy làm lạnh chậm 1h chưa lạnh, thợ lắp hk hút chân không, bảo hành thì kiểm tra giám định xong về , bỏ số tiền 14tr mấy không xứng đáng","0"
"Thợ lại lắp máy cục nóng lấn sang nhà hàng xóm 5cm, giờ mình bị hàng xóm phàn nàng yêu cầu dời lại cục nóng không cho lấn sang, liên hệ ĐMX thì đổ thừa là đã hỏi ý kiến khách hàng trước khi lắp, mà mình không hề yêu cầu lắp lấn sang nhà hàng xóm, thợ chỉ nói lắp cục nóng ở vị trí thẳng ở dưới máy lạnh cho dễ thoát nước thì mình cũng nghĩ là trong phạm vi nhà mình thôi, giờ đổ lỗi cho khách hàng, giờ có người bên ĐMX gọi lại nói dời cục nóng tốn tiền công 450k nữa, quá ức chế luôn. Mình mua hàng của ĐMX vì chỗ phục vụ và bảo hành tốt thôi chứ giá cao hơn hẳn mấy chỗ khác mà giờ làm sai còn đổ lỗi rồi tính tiền thêm.ĐMX GIỜ QUÁ TỆ","0"
"Mình thấy máy này dùng ổn. Nhưng có 1 điều làm minh thất vọng vè điện máy xanh là phí sục ống hết 320k.Mình là dân trong nghề cả 10 năm này, việc bơm ga là phải bao gồm sục ống, vì việc này khá đơn giản chỉ xả ra 1 chút ga để đẩy bụi trong ống ra thôi.Mình nghi ngờ dmx bảo là miễn phí lắp đặt nhưng bằng cách nào đó họ vẫn sinh lời trên việc này.","1"
"Mik mua máy đc 3tháng mấy Sao ban đêm mở it lạnh quá","0"
"Hiện tại minh su dung rất OK","1"
"Máy Lạnh Xài Tốt Làm Lạnh Nhanh Máy Chạy Êm Có Điều Cục Nóng Kêu To Là Lúc Khỏi Động Thôi Chạy Chút Đủ Độ Lạnh Thì Cục Nóng Sẻ Chạy Rất Là Êm Được Cái Thợ Lắp Nhiệt Tình Vui Vẻ","1"
"Ok","1"
"Rất tốt","1"
"Mình thấy dùng tốt","1"
"Không kết nối wifi được","1"
"Sản phẩm chất lượng tốt","1"
"Mình muốn huỷ đơn hàng sđt xxxx127898","1"
"Tắt điều hòa vẫn há tang hoang. Vừa sử dụng 1 hôm đã cảm thấy chán. Đc cái nhân viên lắp đặt nhiệt tình cục nóng rất ồn ko như pana những năm cũ hơn","0"
"Mới dùng dc 2 tuần,cục lạnh bị kêu quá to","0"
"Máy khá êm ,làm lạnh cũng ok nhân viên lắp đặt nhiệt tình","1"
"Lúc mới bật mày thì hôi gas xíu, làm lanhh thì không nhanh lắm. Còn lại ok ạ","1"
"Máy lạnh mua chưa được 1 tháng báo lỗi, nhân viên bên DMX cứ xuống kiểm tra 2 lần mà vẫn bị kêu to vậy mà không chịu đổi cứ làm mất thời gian, điện tổng đài khiếu nại thì cứ hứa lèo hẹn tới hẹn lui quài đi làm bắt về quai không uy tín nha mọi người.","0"
"Nhân viên k nhiệt tình....","0"
"Cho mình hỏi đèn nano g chớp nháy là có bị sao không lúc trước không có chớp máy mới mua được 1 tháng","0"
"Máy chạy êm. Thợ ráp cẩn thận","1"
"Tốt. Nhưng sao Mới lắp hôm qua mà một đêm chạy 6kg điện không hiểu nguyên do từ đâu","1"
"con này kêu to thật cứ ù ù như trực thăng","0"
"Máy mới lắp chưa đc một tháng có vấn đề.. cục nóng ồn yêu cầu lắp cục nóng chỗ khác thì hẹn này hẹn nọ.. bắt buộc phải tốn tiền thuê thợ ngoài dờ chỗ khác.. hãng cho 5m thì lắp đc 3m ... nói chung từ đây về sau sẽ k mua hàng bên dmx nữa...","0"
"Máy im lạnh tốt. Nhà tôi vẫn rin dùng panasonic","1"
"Tốt","1"
"lúc mở máy lạnh lên cục nóng rất ồn kêu như trực thăng bay. cục nóng thì nhiễu nước chổ khoanh đỏ . Mong ad tư vấn.","0"
