"data","label"
"Máy làm lạnh nhanh, chế độ ngủ lạnh êm ái, chất lượng tốt, mọi người nên mua.Mà tôi không đăng nhập được smartthings để điều khiển từ xa.","1"
"Nhờ bạn hướng dẫn tải app điều khiển trên điện thoại.","1"
"Lạnh rất nhanh","1"
"Máy ù ù quá ồn Đã liên hệ mà vẫn chưa thấy bên phía Samsung lên xử lý","0"
"Dùng rất tốt máy chạy êm","1"
"Dàn nóng hoạt động hơi gây ra tiếng ồn xíu nhé","0"
"Máy hỏng không mát hãng lấy đi bảo hành giờ vẫn chưa lắp lại cho tôi","0"
"Dùng ok 10 điểm","1"
"Sản phẩm dùng tốt. Nhân viên phục vụ vui vẻ nhiệt tình","1"
"Dịch vụ bảo hành và hậu mãi của điện máy xanh lần đầu tiên tôi thấy RẤT TỆ. mua tất cả đồ điện ở đmx nhưng giờ thấy thất vọng vô cùng. Lúc đầu nghĩ vì chất lượng và dịch vụ tốt nên mua. Nhưng đến lúc này mới biết QUÁ TỆ. mua điều hoà được tặng 1 suất vệ sinh miễn phí. Nhân viên gọi điện nghe có vẻ hay ho lắm. Xong không hề có người nào xuống vệ sinh. Giờ máy báo CF thì gọi lên tổng đài 2 lần đều hẹn sẽ có nv hỗ trợ. Kêu đã được vệ sinh rồi. Chả đáng là bao nhưng GHÉT cái KIỂU PHỤC VỤ LÁO LẾU. Nếu đã có người vs thì đề nghị đưa hoá đơn, chữ ký và hình ảnh. Vì tôi thấy mỗi lần nv xuống lắp đặt sẽ có chụp ảnh và ký xác nhận.","0"
