"data","label"
"THấy dùng cũng bình thường mỗi tội điều khiển chưa ưng lắm","1"
"Tôi mua điều hòa này và được lắp đjăt vào ngày 30/5/2025. Tôi không nhận được bất kỳ khuyến mãi hay coupon nào như ĐMX đã cam kết. Ngay thời gian đầu điều hòa bật 16 độ lâu cũng không thấy lạnh sâu. Máy ít sử dụng nhưng đến 1/7 đã có dấu hiệu chỉ mát, không lạnh dù đã bật 16 độ. Tôi cần được ĐMX chủ động gọi điện tư vấn về lý do và cách khắc phục cho tôi.","0"
"Mình cực kì hài lòng. Mình thấy êm. Không có mùi nhưng các dòng khác. Lạnh nhanh. Thích nhất là điện nhà mình yếu dùng vẫn ok","1"
"Máy chạy êm. Mát nhanh dùng thích thật. Phòng nhà mình gần 20m2 tầng 2 nên nóng. Mà bật máy này mát lắm. 2 chị em ngủ ngon lành. Qua điện máy xanh để mua máy này nhé","1"
"Mới lắp đặt nên chưa biết sử dụng lâu dài như thế nào nhưng mình thắc mắc về quà tặngTặng máy xay thịt nhưng ko thấy nhân viên lắp ráp đưa Còn máy phiếu quà tặng và hỗ trợ tiền điện thì saooo","1"
"Mình mua bao công lắp đặc tặng 5m dây đồng, mà đến khi lắp đặc thì ko tới 2m, vậy còn 3m5 thằng lắp đặc đem đi đâu, nge bảo gắn đồng ngắn quá máy mau hƯ.... Mình ko hài lòng tí nào....","0"
"Mình đang dùng 2 máy 12 giá ok mà mình thấy chạy êm mát nhanh chạy ok , mình sẽ giới thiệu người quen dùng","1"
"Dùng cũng ổn, không có gì đặc biệt","1"
"Máy lạnh dùng ổn định, chạy êm Nhân viên tư vấn nhiệt tình, bảo hành đến tận nhà bảo hành","1"
"Máy này nên mua nha Lạnh không khác gì các hãng daikin, lg mà có cả lọc bụi mịn. Mình rất ưng và đã mua thêm Sao hãng không có sớm hơn để được trải nghiệm sớm","1"
"","0"
