"data","label"
"Cả chế độ Cool và DRY đều không thể dùng được, bật 30 độ thì rất nóng, xuống 29 độ thì lại rất lạnh, lạnh như 2627 độ, độ ẩm thì lại rất cao. Mua máy lạnh về cho bé sơ sinh sài mà độ ẩm lúc nào cũng cao làm cho bé nhà mình bệnh luôn . Có ai đời mua máy lạnh về mà chỉ dám bật quanh quẩn 29 30 độ không, xuống thấp nữa thì lạnh không chịu được. Máy chạy nhiệt độ không đúng như chỉ định. Bật 29 mà ra 27, bật 28 mà ra 2526 độ. Không thể dùng được.","0"
"Cùng phân khúc 67tr mà sản xuất cái điều hòa như hạchĐiều hòa gì mà chức năng cơ bản như chế độ auto, hút ẩm, cải thiện chất lượng không khí, Hay đơn giản cơ bản nhất là cái đảo chiều gió trái phải cũng không cóXong sản xuất cái điều khiển thì đại trà dùng cho tất cả các loại điều hòa hay sao ýKhông đảo gió trái phải đc nó không mát đều trong phòng, dùng điên cả ngườiCũng tại mua không tìm hiểu kỹ nên đành dùng, 1 năm dùng có 30 ngày cho a trai ở xa về nên không muốn đem trảĐồ Sunhou chỉ mua lần này nữa là không bao giờ mua bất cứ loại gì khácLần trước mua cái ấm siêu tốc về đun khét mù ám vào nướcĐem ra bảo hành 2 lần không được, vứt luôn ở ĐMX rồiChấp nhận + thêm 1 lần ngu cuối cùng với Sunhou","0"
"Yếu làm lạnh lâu gió không to. Tôtns điện","0"
"Mua đc đúng 10 ngày thì hỏng lốc, gọi bảo hành hãng thì bảo đợi đến ngày 18 sẽ có ng qua kiểm tra, nóng bỏ mẹ ra đợi hãng qua ktra thì đến mùa đông mẹ luôn rồi.","0"
"kỹ thuật viên lắp đặt là một yếu tố quan trọng, sau khi sử dụng thì chảy nước, không biết còn phát sinh thêm gì nữa không, một trải nghiệm không hài lòng","0"
"Xài mấy tháng rồi vẫn chạy ngon lành, dMX hỗ trợ nhiệt tình","1"
"dùng tạm ổn, không có gì đặc biệt","1"
"mua sản phẩm từ 8/7. đến 25/7 thì điều hoà hỏng lỗi E6. ngày 27/7 dmx đến ktra sơ bộ, đẩy vấn đề cho hãng. đến nay 4 ngày làm ban đêm ban ngày ngủ. thời tiết này thì có thể nói là không ngủ nổi. chẳng nhẽ bán sản phẩm lỗi cho khách hàng. hay bán có lãi còn bảo hành thì không. chứ thế này chả khác gì hành khách hàng. thiệt nhất vẫn là khách hàng. trung thành mua đồ ở điện máy xanh bao nhiêu năm, nào máy giặt nào điều hoà nào tủ lạnh rồi bếp .. lần này sợ luôn","0"
"Làm lạnh nhanh, máy chạy êm. Giá cả phải chăng. Dùng cả tháng ko chênh tiền điện mấy. Ai mua phân khúc rẻ thì mua nhé.","1"
"Dùng ổn định. Tháng 6 bật máy lạnh cả tháng mà tiền điện ko tăng nhiều.","1"
"Máy chạy êm ru, nhân viên giao nhận và lắp ráp rất nhiệt tình và khéo léo. Có vấn đề gì gọi lên tổng đài DMX đều được hỗ trợ. cho 5 sao","1"
"quá bức xúc vs chế độ bảo hành và cánh làm vc chưa ĐMX. thợ lên k khắc phục đc thì bảo hãng hẹn 48h vẫn k thấy gọi lại tiếp thì hẹn tới 25/6. lúc mua thì tư vẫn hay lắm lúc hỏng k thấy đá động gì. gọi ra tới hãng thì hãng bảo dmx vừa mới báo. thế mấy ngày rồi đmx nghĩ k làm vc à. bán có nghĩ t7, cn k mà lúc bảo hành thì bảo thứ7 vs cn ko ai nên mua của đmx nữa nhất là hãng sunhouse","0"
"tu khi lap toi hien tai thay on ap","1"
