"data","label"
"đã dùng 3 tháng đánh giá như sau+chất lượng toshiba là ok rồi,độ lạnh rất dễ chịu ...+rất tiết kiệm điện xài máy lạnh mà ko tăng bao nhiêu tiền...+ nhược điểmcục nóng khởi động hay chuyển chế độ là hơi ồn....","1"
"Máy mua ồn kinh khủng, rung muốn bể tường. đã đổi 11 nhưng vẫn y chang vậy. Tệ kinh khủng","0"
"Nhà mình bật gần như cả ngày nhưng hóa đơn không tăng nhiều. Rất ấn tượng với khả năng tiết kiệm điện của model này. Máy làm lạnh rất nhanh, chạy siêu êm, mát sâu mà không gây khô hay khó chịu","1"
"Xài máy này hơn 1 tháng rồi, chất lượng vượt mong đợi. Làm lạnh nhanh, mát sâu mà không gây khô da. Ấn tượng nhất là độ êm. Nhà có em bé mà dùng vẫn yên tâm, bé ngủ xuyên đêm luôn.","1"
"Cục nóng chạy ồn quá mua về sd chưa đươc 1 tuần là kêu ròi .ồn ko ngủ đc","0"
"Cục nóng kêu to lh bên điện máy tl tn mà k ai lại nhà bảo hành quá thất vọng","0"
"Cục nóng quá ồn mong được giải quyết sớm","0"
"Cục làm nóng chạy rất ồn Mong được giải quyết và xử lý sớm nhất có thể","0"
"Máy chạy im làm lạnh nhanh nhưng khi mua đã chọn gói lắp đặt bao vật tư nhưng thợ lắp vẫn thu tiền dây điện và không thấy bơm gas","1"
"Không nên mua, rất tệ. Mỗi lần mở máy nó kêu với rung nguyên cái nhà, gọi lên cty xong xuống kêu mua cục cao su gắn nhưng vẫn bị, ở trọ không nên mua để tránh rung sang nhà kế bên","0"
"Tui dùng gói dịch vụ cao nhất là có hút chân không mà bên kỉ thuật lại bỏ bứớc đó máy Tosiba 1.5 mẫu 2025 về sao ko pt có bị gì ko mong DMX xem lại kĩ thuật","0"
"Thương hiệu nổi tiếng mà làm ra dòng máy cực tệ , cục nóng chạy làm Như trực thăng tới , nhân viên thì đổ lổi tường yếu sửa tới sửa lui cũng vậy , rồi nói máy nó chạy vậy mình cũng bó tay , thật ra cái vỏ của dàn nóng làm quá mõng nên ko chiệu được xoắn của tua máy cho nên lúc khởi động tôn nó vũ rần rần , rồi đổ lổi này lổi kia , rồi nói máy nó chạy vậy nói giống Như trò hề","0"
"Máy cục nóng kêu to kêu rung tường nhà. Báo nhân viên thì nhân viên đổ lỗi do tường yếu. Cảm thấy thất vọng với chất lượng sản phẩm và thái độ nhân viên ạ.","0"
"cục nóng nó kêu e e e khó chịu, khi bấm Eco thì không còn kêu, có gọi bảo hành bên ĐMX kiểm tra thì bảo cục nóng nó là z..trong khi các hãng khác trong dãy trọ cục nóng không có kêu như vậy","0"
"Chất lượng máy quá tệ","0"
