"data","label"
"Tốt, chạy êm, lạnh sâu và khử mùi rất tốtNhân viên lắp đặt thân thiện, vui vẻ. Có tâm, lau chùi sạch sẽ khi bàn giao cho khách.","1"
"Làm ăn lừa đảo","0"
"Mình có mua 1 máy lạnh này gắn phòng, nhưng sao lúc lắp thợ không tư vấn lắp cao sẽ khó vệ sinh. Đến hôm nay định kỳ 6 tháng vệ sinh thì bên thợ được điều đến vệ sinh lại nói là cao quá nguy hiểm không làm được. Mình lại phải kêu thợ ngoài về làm....","1"
"Máy lạnh hoạt động tốt","1"
"Nhiều chức năng. Khử mùi tốt. Cục nóng chay êm như chó thở. Đã giới thiệu Cj kế bên mua y vậy","1"
"Chưa sử dụng nhiều nên chưa cho mức rất tốt được. Nhưng toshiba là hiệu tôi tin dùng, nên tôi luôn tin tưởng về chất lượng. Giá cả hợp lý, máy bền, êm.","1"
"Tốt","1"
"Đang sử dụng chờ thời gian đánh giá lại","1"
"Bài viết này không liên quan đến chất lượng Sản PhẩmDịch vụ mà ĐMX cung cấp cực tệ, mọi người nên cân nhắc sd dịch vụ bên ĐMX, dịch vụ mang lại ko xứng đáng 1 never come back","0"
"ok","1"
"Máy lạnh rất tốt, làm lạnh nhanh và sâu.Nhưng nhân viên lắp đặt thì cho1","1"
"Mới lắp...làm lạnh nhanh...chạy êm....để thời gian coi thử","1"
"Máy khong lạnh gì hết tùy chỉnh trái phải gì o au lên xuong khong duoc .phòng trọ có gác gqn 1.5hp mà không lạnh trên gác lanh thì ở duoi k ở fuoi mát tí thì trên k","0"
"Máy k lạnh lắm. Báo lên zalo mà báo quá tải chưa xử lý","0"
"Rất tốt máy sài êm lắm","1"
"Sp tốt máy chạy êm mạnh làm lạnh nhanh","1"
"Làm lạnh quá chậm để 17 độ 30 phút mà chỉ hơi lạnh thôi","0"
"Rất tốt","1"
"Ok","1"
"Máy hoạt động bình thường","1"
"Tốt","1"
"Rất hài lòng","1"
"Cảm ơn sp dùng rất tốt","1"
"ok","1"
"Máy chạy êm","1"
"Máy lạnh chạy êm, làm lạnh nhah và dịu","1"
"Vận hành êm, lực gió mạnh. Phù hợp với nhu cầu phòng ngủ chung cư 15m2.","1"
"Ok","1"
"Lắp đặt không đủ số lượng dây đồng. Cục nóng lắp gần nên tiếng ồn lớn. Phát sinh thêm phí lắp đặt.","0"
"Máy hoạt động tốt, chưa phát hiện lỗ kỹ thuật.","1"
"Máy mới gắn, dàn lạnh tiếng quạt gió nghe rù rù. Ai nhạy cảm với âm thanh thì nên cân nhắc mua máy. Dàn nóng chạy êm. Máy mới nên nhiệt độ rất lạnh, mới dùng nên không biết có tiết kiệm điện hay ko, sẽ đánh giá sau","1"
"Máy rất tuyệt vời, lock máy chạy siêu êm chỉ nghe tiếng quạt ù ù, làm lạnh siêu nhanh, kiểu dáng đẹp hơn cả panasonic!","1"
"Làm lạnh rất chậm, phòng trên lầu mở để 30p sau 17 độ mới cảm giác lạnh lên… đã hỗ trợ kĩ thuật nhưng cũng v đổi máy thì mất 20% phí.. nhà tận 3 cái khác dòng nhau nhưng này là tệ nhất","0"
"Ok","1"
"Chạy thử cảm nhận máy làm lạnh chậm hơn loại không có inverter. Tuy nhiên tiếng êm hơn. (Nhà đang dùng 03 AC Toshiba 1HP không inverter đã 6 năm.)","1"
"Thời gian đầu sử dụng tốt","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
