"data","label"
"Máy lạnh chạy êm, làm lạnh sâu, mới lắp nên thấy ổn so với các dòng sản phẩm khác mà mình đã sử dụng. Nói chung OK đáng mua nha","1"
"máy xài rất tệ","0"
"Mua sản phẩm ngày 06/06/2024 nhưng đến ngày 29/06/2024 vẫn chưa dứt dụng được một ngày. Gọi tổng đài kỹ thuật tới kiểm tra hết ga rồi đi, đồng kiểm Toshiba không phát hiện lỗi trong khi máy không hoạt động và làm lạnh. Kỹ thuật DMX đổ lỗi cho Toóhiba, kỹ thuật Toshiba lại nói lỗi do DMX. Chỉ có người mua chịu thiệtYêu cầu DMX nhanh chóng thu lại máy hư và đổi máy mới hoặc hoàn lại tiền. Rất tệ","0"
"Tôi dùng dòng này hơn 2 năm và đã hết bảo hành, nay mới review. Máy chạy êm ái, lạnh mau và sâu. Tôi ở chung cư phòng nhỏ, để 29 thì đã phải kéo hờ chăn rồi. Một ưu điểm nữa là máy có chế độ êm dịu cho trẻ nhỏ.","1"
"Cục nóng kêu như may bay phan lực","0"
"Sai tốt lắm","1"
"Mua gần tháng rất thích nhiều chế độ nha","1"
"Tôi mới mua gần 7 ngày, cục nóng chạy rất ồn và rền cả tường căn phòng, y như đang ở dưới hầm máy ghe luôn, gọi bh hành nói do nó vậy, nhân viên hãng qua nói lắp quá gần dàn lạnh, trông khi tiêu chuẩn tiếng ồn thì không có , tôi đã tùng sài hãng khác rất ok, đmx làm ăn vầy thì thất vọng quá, nào giờ điện thoại cũng đmx, tivi cũng đmx.... xui gặp ngay máy lạnh Toshiba trợn.","0"
"Rất tốt","1"
"máy tạm ổn, không tốt như các loại máy cũ cùng hãng. Nhưng mà mua trả góp thì tôi hối hận quá vì bị quấy rối đòi nợ liên tục mặc dù chưa đến ngày thanh toán, 1 ngày nhận cả chục cuốc điện thoại, ngày 3/6 là hạn thanh toán thì đã bị quấy rầy từ 28/5, từ sáng đến chiều, biết vậy khỏi mua cho rồi.","0"
"OK","0"
"Sản phần tốt cục nóng và lạnh hoạt động rất êm,nhân viên nhiệt tình tư vấn,thợ lắp ráp chu đáo,nói chung hài lòng về sản phẩm.lắp ráp ngày/3/5/24","1"
"May sai rat êm, lanh sau ,rat hay long,nen chon mua","1"
"máy lạnh làm lạnh nhanh lắm, máy chạy êm tốt","1"
"Máy lạnh dùng tốt, làm lạnh bình thường, chạy cục nóng k êm, hơi ồn, quạt hơi ồn khi bật chế độ cao","1"
"mình mới mua thấy máy chạy tốt, êm, chạy ok","1"
"máy chạy êm, bình thường, thấy cũng lạnh","0"
"Máy lạnh dùng tốt, làm lạnh nhanh, chạy êm","1"
"Máy lạnh dùng tốt, làm lạnh nhanh, ban đầu thì chạy hơi ồn","1"
"máy lạnh dùng êm, phòng mình nhỏ nên thấy làm lạnh cũng nhanh","1"
"máy nói chung sử dụng tốt, chạy êm, chưa có gì phát sinh","1"
"Máy dùng hơi ồn","0"
"máy mình mua về cũng ít dùng nhưng thấy ổn, máy chạy êm, tốt","1"
"Máy lạnh dùng tốt, làm lạnh nhanh, chạy êm","1"
"máy chạy tốt, máy êm, làm lạnh nhanh, ổn, chưa có gì phát sinh","1"
"Máy lạnh dùng tốt, làm lạnh nhanh, chạy êm","1"
"máy mới mua dùng cũng được, máy chạy êm, làm lạnh cũng được","1"
"Máy lạnh dùng tốt, làm lạnh hơi lâu, chạy còn ồn","0"
"Máy lạnh dùng tốt, làm lạnh nhanh, chạy chưa được êm lắm","1"
"máy chạy êm, tốt, chạy ok","1"
"Máy lạnh dùng tốt, làm lạnh nhanh, chạy êm","1"
"máy dùng cũng dc, máy êm, làm lạnh nhanh, chưa có gì phát sinh","1"
"Máy lạnh dùng tốt, làm lạnh nhanh, chạy êm","1"
"máy dùng ok, máy êm, bình thường, ổn","1"
"Máy lạnh dùng tốt, làm lạnh nhanh","1"
"Máy lạnh dùng tốt, làm lạnh ổn","1"
"xài tốt, chưa có vấn đề gì","1"
"máy chạy êm, mát, bình thường","1"
"Máy lạnh dùng tốt, làm lạnh nhanh, chạy rất tốt","1"
"xài tốt, chưa có vấn đề gì","1"
"Máy lạnh dùng tốt, làm lạnh nhanh, chạy không gây tiếng ồn, chưa có vấn đề gì","1"
"Máy làm lạnh nhanh, chạy êm","1"
"tốt, chưa có gì vấn gì","1"
"Máy lạnh dùng tốt, làm lạnh nhanh, chạy êm","1"
"mới mua máy dùng tốt, tất cả đều tốt, máy êm","1"
"máy êm, bình thường, làm lạnh nhanh, tốt","1"
"Máy lạnh dùng tốt, chạy êm","1"
"máy chạy êm, tốt, làm lạnh nhanh, không có vấn đề gì phát sinh","1"
"cũng được","1"
"Máy lạnh dùng tốt, chạy rất êm, làm lạnh thì nhanh, ok","1"
"Máy lạnh dùng tốt, làm lạnh nhanh, chạy êm","1"
"xài tốt, ngon","1"
"xài tốt","1"
"Máy lạnh dùng tốt, chạy êm, làm lạnh từ từ, chưa nhanh lắm","1"
"Máy lạnh dùng tốt, làm lạnh nhanh, chạy êm","1"
"máy xài ổn, chưa bị gì","1"
"Máy lạnh dùng ổn, chạy êm nhưng chế độ lạnh chưa tốt, phải để độ cao","0"
"Máy lạnh dùng tốt, làm lạnh nhanh, chạy êm","1"
"Máy lạnh dùng tốt, chạy êm, làm lạnh nhanh","1"
"Máy làm lạnh nhanh, chạy không gây ồn","1"
"Máy lạnh dùng tốt, làm lạnh nhanh, chạy êm nhưng khi tắt vẫn chưa tắt hẳn, còn chớp xanh","1"
"Máy lạnh dùng tốt, làm lạnh nhanh, chạy êm","1"
"Máy lạnh dùng tốt, làm lạnh nhanh, chạy êm","1"
"Máy 1hp mới mua về chỉnh 17 độ mà vẫn ko lạnh chỉ mát mát, kêu bảo hành hãng Toshiba qua thì đo xong nói phòng rộng trong khi phòng chỉ 17m2, xong bắn nhiệt độ la phông trần chỉ 33C cái nói phòng nóng quá máy ko làm lạnh đc. Phòng bên cạnh máy lạnh ng ta chỉnh 30C lạnh teo v mà nói vậy đc mình chịu cái anh bảo hành hãng đó luôn. Kiểu này mất uy tín quá DMX ơi. Máy mua gần chục triệu chỉ mát mát máy chạy liên tục do ko đủ nhiệt độ tốn điện, quá thất vọng","0"
"máy bị lỗi.","0"
