"data","label"
"Máy này có sạc cổng C để sài sạc dự phòng được không ad","1"
"Sao khởi động lâu lên vậy admin","1"
"Sao máy tụt pin rất nhanh dù mới mua có 1 ngày,tụt pin nhìn muốn chóng mặt luôn. Bị lỗi gì không ,nếu sử dụng liên tục chỉ để lướt web máy sẽ xài được mấy tiếng.","1"
"trước em mua được bên đại lý hỗ trợ cài mcafree miễn phí, nhưng e xóa nhầm, giờ có hỗ trợ cài lại online ko ạ","1"
"Mới dùng được một ngày nhưng đang không hiểu chất lượng pin thế nào. Lúc mới mở máy lên pin báo 43% xài trong 3h40. Một phút sau bắt đầu thao tác thì lại báo 42% xài trong 1h50. Nói chung tuột pin rất nhanh. Đây là do lỗi pin đúng không ạ review thấy nếu thao tác văn phòng thì trong 67 tiếng mà. Mình chưa hề làm gì đến office, mới chỉ mở check email thôi đó. Máy mới lấy chiều qua tại shop. Liên hệ giải đáp giúp mình.","1"
"Máy mỏng nhẹ, dùng rất mượt.","1"
"Máy ngon nha mng","1"
"","1"
"","1"
"","1"
