"data","label"
"Từ sau lần update gần nhất, laptop mình có hiện tượng hiển thị khoá bitlocker sau khi khởi động và đặc biệt là hay bị tắt nguồn đột ngột liên tục ngay khi khởi động + đang sử dụng","0"
"ới mua máy nhân viên bán hàng tư vấn office 365 xài được vĩnh viễn về thấy chỉ cho dùng thử 5 ngàyNgày xưa mua hàng ở thoigioididong vì dịch vụ tốt, còn giờ thì dịch vụ quá tế, nhân viên tư vấn chỉ muốn bán được hàng muốn lừa dối khách hàng Máy 3 sao, chất lượng dịch vụ 0 sao","0"
"Touchpad lỗi phần cứng nhưng vẫn cố bán. Đã đổi 3 cái.","0"
"Máy mới mua đã bị lỗi, gọi kỹ thuật không bắt máy, CSKH rất tệ, tôi về khuyên mọi người xung quang không nên mua ở TGDĐ, thành thật thất vọng","0"
"tôi mua máy này tháng 7/2024 đi bảo hành 2 lần hiện tại màn hình vẫn bị đen máy vẫn bị lôi . hãng Asus bảo hành rất tệ còn thể giới di động cốt chỉ bán hàng thôi","0"
"xin cách mở đèn bàn phím","1"
"lúc mới mua về thì touchpad cũng mượt lắm mà dùng dc 2 tuần thì nó lỗi, tự chạy tự nháy liên tục mình nghĩ với giá này thì mọi người nên cân nhắc bỏ thêm tiền mua máy khác thì hơn","1"
"Mới mua mà bị lỗi touchpad, mang ra bảo hành thì nói mất khoảng 15 ngày hoặc tự chạy ra bảo hành hãng cho nhanh mặc dù cùng ở tp HCM","0"
"Mình xài cả năm rồi nhưng mà từ lúc mới mua cảm ứng nhảy như ngựa, mang ra thì nói bảo hành mấy chục ngày lâu quá nên thôi, sống chung với lũ. Ai mua thì nghiên cứu kĩ nhé","0"
"Ổn trong tầm giá này, nhưng mua về đc 1 ngày bị hư cảm ứng chuột, đã đổi và mong sẽ không bị gì nữa.","0"
"Máy đẹp dùng rất tốt","1"
"Tôi mua hiệu máy này được 4 tháng nhưng sự dụng 2 tháng thì đã hư phần cảm ứng và đã đi bảo hành. Nhưng về sử dụng tâm từ một đến hai giờ đồng hồ là cảm ứng bị đơ đi chuyển không phuong hướng. Mong cửa hàng và hãng có biện Pháp khắc phục cho khách hàng.","0"
"Máy đẹp. Nhân viên tư vấn nhiệt tình","1"
"Sử dụng rất tốt, y như 1 máy mới. Có điều em chưa sử dụng quen nên hơi khó sử dụng 1 tí.","1"
"Cho hỏi sao thông tin sp ổ cứng tổng là 512GB mà sao giờ máy mình tổng 2 ổ đĩa có 474GB thôi.","1"
"Rất tốt","1"
"Mới mua ngày 18,01 hôm nay phải đem ra tgdd Nguyễn văn tiết lái thiêu rồi. Nói không bị gì mà làm hơn 1 tiếng chưa xong. Mệt mỏi","0"
"Máy này có đèn bàn phím không ạ","1"
"Mượt","1"
"","1"
"","1"
"","0"
