"data","label"
"con này có bảo mật khuôn mặt k shop","0"
"Cho em hỏi là sản phẩm này được bảo hành phần mềm trọn đời đúng không ạ","1"
"cho e hỏi lắp thêm ổ cứng được ko ạ","1"
"Máy nóng máy chưa cài thêm ứng dụng nào nhưng khởi động chậm, mới mua được 33 ngày mà hôm nay phải gửi lên hãng để bảo hành thời gian bảo hành tới 15 ngày . thấy nhân viên báo lỗi Win.","0"
"cấu hình cũng như thiết kế khá ổn, tuy nhiên thời gian khởi động máy khá lâu, nhấn nút nguồn xong khoảng 10s sau mới sáng được màn hình, làm mình cứ tưởng là ấn ko ăn phím nguồn","1"
"Máy khá gọn so vs một chiếc laptop 16 inch thông thường, mua về để xem phim ms phát hiện độ phủ màn hình có 45%, hơi tiếc chổ này thôi còn lại ổn","1"
"Máy ngoại hình văn phòng, nhưng hiệu năng gaming, mua máy này để dùng cho công việc là dư sức. Tuy nhiên máy mới mua có thời gian khởi động chậm. Tuy đã cắm sạc rồi mới mở máy nhưng khoảng 10s mới lên nguồn.","1"
"Mượt mà mọi tác vụ, hơi nóng máy, pin tuột hơi nhanh, sd liên tục tầm 3 4 tiếng","1"
"Loa hơi nhỏ thôi, máy xài ok ạ","1"
"máy rất mượt, hơi nóng xíu, tổng thể rất ok mượt, đẹp","1"
"Mới mua dùng thấy ổn. Máy chạy êm, chạy đa nhiệm tốt","1"
"","1"
