"data","label"
"Máy nóng, pin tuột rất nhanh, dù lỗ 20% giá nhưng vẫn quyết định trả vì thấy không ổn, máy Dell nhưng lắp ráp linh kiện và xuất sứ tại TQ nên mn cân nhắc trước khi mua nha, touchpad không nhạy, khá ọp ẹp. Nói chung rất tệ, chắc không mua hàng ở đây nữa","0"
"Mẫu này khu vực mình ở có máy đã qua sử dụng không ạ","1"
"máy nhanh nóng, tụt pin nhanh vừa đầy pin dùng 1 tí đã thấy nó tụt nhiều rồi cứ phải để ý để sạc, vừa sạc vừa dùng nóng quạt kêu ù ù.","0"
"Máy mới mua được 4 tháng thì bị bong keo màn gãy bản lề. Mình đang cần dùng máy gấp thì nhân viên bảo đem ra ngoài sửa trong khi đó mình có bảo hành. Nói chung là thái độ chăm sóc khách hàng không hài lòng","0"
"Muốn lên đời shop thu mua lại k vậy shop, mua chưa đc 6 tháng","1"
"Nhanh hết pin. Chắc được 3 tiếng.","0"
"máy mới mua, mới dùng được 5,10 phút đã nóng máy, pin tụt nhanh, dùng được 1.5 chỉ một tác vụ, đã đổi máy một lần vẫn vậy, điện máy làm ăn lằng nhằng, không giải quyết được vấn đề khách hàng khiếu nại, chưa bao giờ thấy thất vọng về điên máy như vậy,","0"
"Vỏ máy dễ bám vân tay, máy nhanh hết pin.","0"
"Máy kiểu dáng đẹp, gọn, nhẹ, giao diện Win 11 đẹp, sang, dùng khá ok. Tuy nhiên, pin khá là nóng, dùng được 5 phút sờ vào máy là thấy nóng hổi. Mình mua và dùng được 1 tuần rồi. Nếu vừa mở youtube vừa làm việc thì pin dùng được khoảng 3.5 tiếng đến 4 tiếng.","1"
"Tạm ổn","0"
"Máy dùng khỏe. Nhẹ dễ cầm. Có 1 vài điểm k đuợc ưng lắm đó là vỏ nhựa nhám bẩn khó lau, lỗ thoát khí xả thẳng góc phải màn hình bên gây nóng màn hình.","1"
"sản phẩm dùng tốt","1"
"E mới mua được mấy ngày. Mà mới bật máy lên cỡ 5p là nó nóng kinh khủng. Giờ liên hệ đmx kiển tra được không ad","0"
"Mới dùng nên mọi thứ thấy ổn.","1"
"Win dung ko tien","0"
"Tốt nhen.","1"
"Truy cập nhanh, màn hình hd sắc nét","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
