"data","label"
"tản nhiệt máy ko ồn mà quá ồn, nên cân nhắc khi mua máy và để ý đến tản nhiệt của máy","0"
"Máy dùng ổn, tản nhiệt hơi ồn, tác vụ ổn định có điều cập nhật nhiều lúc đơ lag...","1"
"Quạt tản nhiệt ồnn, bản lề yếu.Máy ổn, phù hợp với mục đích văn phòng.","0"
"anh ơi, máy này cài Autocad phiên bản năm bao nhiêu chạy được vậy ạ, tại em mua máy mới mà ông anh em kêu máy này yếu cài Cad 2017 thôi chứ cài cao chạy không được ạ","1"
"Tản nhiệt của máy ồn","0"
"Máy dùng tốt","1"
"Ok","0"
"","1"
"","1"
"","1"
