"data","label"
"sao quạt tản nhiệt của e ko chạy đc thế shop...... bật máy lên nó chạy đc 1 tí rồi nó tắt hẳn luôn","0"
"Cho mình hỏi máy có gắn thêm dc ổ cứng SSD sata 2.5 ko ak hay chỉ dùng dc HDD","1"
"Ok","0"
"mình mới mua. Dùng thấy ok, mình thấy bạn bán cho mình hỗ trợ nhiệt tình. NHƯNG NẾU AI KHÔNG RÀNH VỀ LAPTOP NHƯ MÌNH MỌ NGƯỜI NÊN CÂN NHẮC VỀ VẤN ĐỀ KỸ THUẬT, MÌNH THẤY KỸ THUẬT VỀ LAPTOP CÁC BẠN Ở TGDD KHÔNG CHUYÊN VÀ CÒN THIẾU KINH NGHIỆM.","0"
"Máy tốt","1"
"Máy xài ngon nghẻ nhưng chơi game thì lâu lâu sẽ bị đứng 1 chút","1"
"Chất lượng hậu mãi uy tín","1"
"Mình mua máy về mà kh mở cam đc , máy kêu không tìm thấy cam vậy làm sao mới có đc v ạ","1"
"có cái pin hơi yếu","1"
"máy rất nóng","0"
"Nhược điểm : Quá nặng ,cho đứa em luôn không có sử dụng ,pin 3h là hết Ưu điểm cấu hình cao","0"
"Rất ok","1"
"Ngon","1"
"Máy chạy khá tốt :)) nhân viên đẹp trai nhiệt tình vui tính 😁","1"
"Pin xài được 2h","0"
"Tôi đã dùng và cảm nhận sp rất tốt và rất hài lòng với giá cả hợp lí nên mua nha mọi","1"
"Tốt","1"
"tốt","1"
"","0"
"","1"
