"data","label"
"điều khiển tivi sony model rmftx800p của tôi bị hư, giờ mua lại ở đâu. cảm ơn ạ","1"
"Cho mình hỏi lúc mình mua tivi này có kèm các khuyến mãi xem K+...1 năm vậy mình phải đăng nhập vào tài khoản nào để xem vậy ạ","1"
"Sản phẩm khá tốt,giao diện đẹp dễ sử dụng","1"
"Xài ổn","1"
"Tv sài ổn. Nhưng cho mình hỏi làm sao để sử dụng gói vieon vip ạ Gọi nv không ai nghe máy","1"
"Tivi dòng Sony thì k có gì để nói nữa, good","1"
"Tốt","1"
"Không biết lâu dài thì sao,hiện tại sài rất ok.","1"
"Âm thanh tốt","1"
"Rất tốt","1"
"Tốt","1"
"Nhân viên hỗ trợ nhiệt tình","1"
"Từ hôm sử dụng đến nay xem tốt .","1"
"Sản phẩm rất tốt","1"
"Chất lượng hình ảnh tốt","1"
"Rất tốt","1"
"Ok","1"
"Tốt","1"
"Sản phẩm tốt","1"
"Tốt","1"
"Ok","1"
"Màn hình sắt nét âm thanh rõ","1"
"Ti vi dùng rất thích","1"
"Tivi dùng tốt","1"
"Chất lượng tốt dễ sử dụng, nhân phục vụ rất tận tình","1"
"Sản phẩm hình thức đẹp , đúng mẫu mã dịch vụ lắp đật nhanh ,hướng dẫn sử dụng chu đáo ,còn chất lượng sản phẩm cần thời gian sử dụng mới biết chính sác được ,còn hiện tại là tốt.","1"
"Lắp đặt nhanh, cài đặt tốt, nhiệt tình.","1"
"Yêu thương","1"
"Lần đầu mua loại này điện máy bao test đổi mới trong 30 ngày đầu đến khi dùng thì bị lỗi ngày đầu nhưng đã đc các bạn đổi mới ngay hôm sau. Cảm ơn Dienmayxanh !","1"
"TV dùng ổn định","1"
"Hinh anh dep, cac thao tac tren dk de su dung…","1"
"Tivi mượt . Vào mạng nhanh hình ảnh lại nét sinh động . Giá thành hợp lý . Đáng để mua","1"
"Tốt","1"
"OK","1"
"Hình ảnh sắc nét, anh thanh nổi nghe nhạc rất hay","1"
"Sản phẩm tốt","1"
"Hàng OK","1"
"Sắc nét âm thanh nghe tốt","1"
"Rất tốt","1"
"Tv xem rất tốt nét lắm nói chung là ko có vấn đề gì đáng lo ngại mong ct lưu tâm khi cần sự giúp đỡ","1"
"Ok xài dc","1"
"Rất tốt","1"
"Màu đẹp, âm thanh hay","1"
"Rất hài lòng.","1"
"Tv rất nhạy, dùng rất thik, nhưng k biết độ bền thì ra sao","1"
"Sài êm màn hình đẹp ok","1"
"Nhà mình sử dụng tới nay được gần 2 tuần chưa có vấn đề gì xảy ra. Tivi nét đẹp. Dịch vụ chăm sóc chu đáo, nhiệt tình.","1"
"Chu đáo và đúng sản phẩm. Cảm ơn!","1"
"Ok","1"
"Ưng ý","1"
"Sản phẩm tốt.","1"
"Hình ảnh sắc nét, đẹp , âm thanh rõ. Tuy nhiên máy chạy hơi chậm. Bật lên chờ 1 lúc màn hình mới hiện ....🥰❤❤","0"
"Mọi người trong gia đình hài lòng với việc mua tí vì này.","1"
