"data","label"
"Tivi đúng thời gian đầu thì ok. Giờ cứ bị lỗi xem ko được. Bấm video nào cũng báo lỗi ko xem được, chán.","0"
"Tivi nhỏ nhưng chất lượng hình ảnh và tính năng tốt","1"
"Sp tốt ,","1"
"Chất lượng của google tivi Sony rất tốt, hình ảnh nét, âm thanh to rõ. Rất phù hợp với không gian nhỏ xinh.","1"
"Mới xài nhưng có vẻ tốt, âm thanh lớn , màu sắc rõ nét","1"
"Gọi 3 số ở dưới k có ai nghe mà còn bị mất 3k. Mình mới mua sp này liên hệ với mình xxxx444652","1"
"Rất tốt","1"
"ok tot","1"
"Tốt","1"
"Tv dùng ok","1"
"Của hàng Dmx ở huyện chợ mới và hãng Sony làm việc k tốt hàng bị lỗi báo thì đùng đầy trách nhiệm và k khắc phục hàng bị lỗi thật k thể chấp nhận","0"
"Ok","1"
"Tot .chua thay bất ổn nha","1"
"Ok","1"
"Tivi màn hình đẹp , dễ sử dụng","1"
"OK","1"
"Bravia của Sony ăn đứt LG, Tv có 32 inch mà hiển thị cực kỳ sắc nét , âm thanh không chê vào đâu được.","1"
"Mới mua chưa đánh giá về chất lượng, nhưng cực kì không hài lòng về nhân viên giao hàng cảm giác khó chịu, làm cho có rồi về. Đây là lần thứ 2 trải nghiệm không tốt về cách phục vụ giao hàng của đmx. Lần trước thì giao hàng muộn cũng không gọi báo, không xl.","0"
"Ok nha rẻ màu đẹp nhiều chức năng","1"
"Nói chung là ok","1"
"Hình ảnh rỏ nét âm thanh thì sống động mọi ngừời ơi","1"
"Tốt","1"
"Màu sắc cũng ổn,nhưng sao mất luôn mấy kênh kts rồi,không dò lại được giờ phải làm sao ad","1"
"Tôi rất là hài lòng","1"
"Tốt trong tầm giá","1"
"Sản phẩm rất tốt","1"
"Âm thanh, màu sắc ổn.","1"
"Chuẩn mực và Chuyên nghiệp","1"
"Mới thì thay ok .để xem dài tháng coi sao.tốt","1"
"Rất tốt, cá nhân chưa rành xử dụng hêt chức năng","1"
"Sản phẩm đẹp","1"
"Hình ảnh sắc nét, sống động, âm thanh rất chất lượng","1"
"Rẻ, đẹp từ thương hiệu lớn","1"
"Sau thời gian sử dụng dài ngày sẽ có sự đánh giá thêm.","0"
"Máy hoạt động tốt, ok.","1"
"Tốt","1"
"Ok","1"
"Rất ok ,âm thanh tốt ổn","1"
"ok","1"
"Dịch vụ rất tốt","1"
"Tôi muốn lấy k+12 tháng được tặng thì dùng thế nào?","1"
"Ti vi sử dụng rất tốt.","1"
"💯","1"
"sản phẩm tốt","1"
"OK","1"
"Dã qua sử dụng nhưng chất lượng tốt. Dmx phục vụ rất tốt.","1"
"Hình ảnh rõ nét","1"
"Sản phẩm đẹp, nhân viên giao hàng tận tình.","1"
"Dịch vụ tốt","1"
"Đang xài xem ổn không","1"
"Mình mua 11/12/2022 bị bật ko lên tv bảo hành sao đmx","0"
"Tốt","1"
"Đẹp, sắc nét. Âm thanh rõ, to","1"
"cần 1 tivi 32 inch mà lại đầy đủ thông minh thì khó, vi giờ nhà nhà xài tivi thông minh to hok ah,may quá có em này ok luôn.","1"
"Ok mang hinh đẹp","1"
"Sản phẩm OK lắm","1"
"hài lòng","1"
"Vào mạng mà nó báo ko có internet mặc dù đt vs laptop vẫn đang dùng mạng đó. Tắt 5' mở lại thì có báo đã kết nối internet thì vào youtube mất >2',3' mới vào đc. Thỉnh thoảng giật lag. Quá tệ. Ko bao giờ mua hàng đmx nữa. Tệ","0"
"Mình ưng ý sp nhưng cái TV của mình có chức năng điều khiển giọng nói những cái bạn đến lắp đặt chả hướng dẫn tư vấn gì cả . Lắp xong chuồn luôn","1"
"Tốt","1"
"Tốt","1"
"Mới mua đc 2 tuần chưa lỗi lầm gì, sẽ cập nhật tiếp sau vài tháng","1"
"Tivi tắt rồi thì tự động bật lên, rút điện ra thì mất hết thông tin kênh và mạng, tivi trở lại trạng thái ban đầu bắt cài đặt lại hết","0"
"Âm thanh, hình ảnh ok, tuy nhiên tivi bắt wifi quá yếu. Chạy không mượt. Khi thay bằng tivi samsung thì lại bắt wifi ok ( cùng vị trí lắp đặt).","0"
"Ok","1"
"Sắp xếp các kênh tivi trên truyền hình kỹ thuật số mặt đất theo thứ tự 1-> 20 ko được, 10 cái lên 14, 17 rồi 600 800 ko","1"
"Mượt chất âm rõ hay không phí tiền chút nào","1"
"Tôi rất hài lòng về sản phẩm và các bạn nhân viên phục vụ nhiệt tình vui vẻ và chu đáo","1"
"Tốt tivi hoạt động tốt","1"
"mọi thứ hiện tại tốt chỉ mỗi lúc vào mạng bị chậm","1"
"nhân viên chu đáo tận tình ok","1"
"Tốt","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","0"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
