"data","label"
"MUA TIVI 8TR999 SỬ DỤNG ĐƯỢC 10 THÁNG HƯ MÀN HÌNH , BÊN BẢO HÀNH BÁO SỬA MÀN HÌNH 8T5 , MỌI NGƯỜI ĐỪNG NÊN MUA CỦA HÃNG NÀY","0"
"Tivi rất đẹp","1"
"Mới mua được 4 tháng đã có 1 lằng sọc màn hình rồi","0"
"Ok","1"
"Hài lòng TV mỏng, kiểu dáng đẹp, hình ảnh sống động, mỗi loa nghe chưa hay. Đã dùng hơn 3 tháng rất ổn. Hài lòng trong tầm giá","1"
"tivi ổn trong tầm giá thì khá ổn so với hãng khác dung gần tháng chưa có vấn đề gì ... nhưng bực 1 cái khi mình quyết định mua là vì có gói khuyến mại tặng gói xem bóng đá trên K+ nhưng khi mua thi không có cảm giác như bị lừa đã từng mua nhiều lần tai DMX nhưng lần này thực sự thất vọng với cách quảng cáo đánh tráo khái niệm dễ gây lú cho khách hàng tin tưởng DMX mà bị vả 1 cái hơi đau","1"
"Tốt","1"
"Hình ảnh sắc nét đẹp giá cả hộp lý","1"
"Rất ok","1"
"Tôi có mua tivi đc tcl qled q646 đc mấy ngày mà xem tầm 3 4 tiếng là nó cứ đứng hình luôn phải rút phích ra cắm lại tôi muốn đổi sang moder c745 thì đc ko Ạ","1"
"Tốt","1"
"Ok","1"
"Bán Tv có bụi trong màn hình, mới mua được 4 ngày, hãng xuống báo vệ sinh mất 7 ngày, khác nào ép người dùng mới mua về tiếp tục chờ bảo hành, tôi mua hàng về sử dụng ngày chứ có phải để chờ 7 ngày bảo hành đâu Sản phẩm không đạt chất lượng cũng mang ra bán. Từ hãng cho tới điện máy xanh gọi qua gọi lại mất thời gian, mọi người nên cân nhắc khi mua sản phẩm của hãng này, tránh mất thời gian, đừng quá tin tưởng dịch vụ bảo hành của nơi phân phối sản phẩm.","0"
"Mình sử dụng đc gần 1 tháng bị lỗi.....nhưng cách bảo hành và chăm sóc khách hàng rất tốt nhanh gọn lẹ....","1"
"Màu sắc khá tốt. Chất lượng âm thanh rất hay, ít cổng kết nối nhưng đủ các chức năng cần thiết. Dvu ở DMX rất ổn.","1"
"Tivi rất tốt ạ","1"
"Mình từng làm kỹ sư RnD của LG display nên rất hài lòng về chất lượng hình ảnh của TCL trong tầm giá này. Độ hoàn màu 97% màu sắc rất trung thực ko bị rực rỡ. Phải nói là mình rất hài lòng về khoản này lúc ra siêu thị mình có so sánh xem video với mấy con LG Sam Sony giá 15tr thì vẫn thấy con này hơn. Độ sáng 450 nits phải nói là quá sáng luôn nhà mình để trong phòng khách ngược với ngoài trời nhưng nhìn ko bị bóng lóa nhà mình phải giảm bớt sáng đi để nhìn ko bị mỏi mắt luônTuy nhiên thì cũng có vài điểm trừ Loa không hay mình là người khá kĩ tính trong âm thanh và hình ảnh và mình hay xem phim nghe nhạc xem show nước ngoài thì thấy loa thực sự ko ổn nên chắc phải mua thêm 1 cái sound bar nữa. Làm mượt chuyển động ko thực sự tốt lắm nếu các bác để mức setting làm mượt là 10 lớn nhất thì sẽ xuất hiện tình trạng bóng mờ xung quanh những chuyển động nhanh còn nếu để mức 6 thì sẽ ko còn tình trạng này nhưng nó lại ko đc mượt như mức 10. Chip của TV cũng ko phải thực sự quá ngon nếu các bác vào các app youtube netflix.. hoặc về home thì nó sẽ có tgian delay. Nhưng cái này có thể chấp nhận được vì TV ko thể đòi hỏi nhanh như smartphone hay PC được và mình cũng ko hay chuyển qua lại các appChốt Trong tầm giá 10tr thì mình khá hài lòng đúng nghĩa của một chiếc TV thì hình ảnh tuyệt vời so với các con khác.","1"
"Minh vừa mua 1 con nv nói đc tặng gói truyền hình fptplay max3 nhưng khi minh đắng để xem thì lại mất phí 66k 1 tháng như vậy là nv hoặc dmx lừa khách hang rồi","0"
"Mới mua 1 con. Bên ĐMX để sai thông tin nhà sản xuất là Model Q646 năm 2023 của TCL không sử dụng công nghệ loa của Onkyo Nhật Bản nữa. Việc ghi sai thông tin nhà sản xuất sẽ gây ra hiểu lầm cho khách hàng 1 là khách hàng bị lừa 2 là bộ phận kỹ thuật ĐMX kém hiểu biết. ĐMX nên đính chính lại. Thân","0"
"Mới dùng thấy khá ổn. đã 1 lần bị thoát hết tắt mà hình khi đang xem. cần thêm thời gian để traie nghiệm","1"
"Tốt","1"
"Tv sắc nét. Quá tốt so với mức giá của sp","1"
"Mới dùng mấy hôm chết điểm ảnh bằng con ruồi","0"
"Sản phẩm chất lượng","1"
"Bán hàng và phụng vụ rất tốt","1"
"Ok","1"
"","1"
"","1"
"","1"
"","1"
"","0"
"","1"
"","1"
"","1"
"","1"
"","1"
