"data","label"
"remote nút nguồn k hoạt động mang đi bảo hành nửa tháng k thấy đâu","0"
"Mua 1 ngày lỗi TCL Từ Chối đổi mới, Điện Máy Xanh đã đứng ra đổi cho mình 1 sản phẩm mới , Điện Máy Xanh Uy Tín Chất lượng","1"
"Tại sao tôi không chiếu được Laptop lên tivi bằng kết nối không dây","1"
"Lỗi mất kết nối wifi ở nhà, tìm lại k hiện chỉ hiện wifi hàng xóm","0"
"dùng tốt","1"
"Xài rất ok","1"
"Sản phẩm ok","1"
"Dùng ok, có điều âm lượng hơi nhỏ.","1"
"Ok trong tầm giá","1"
"TV màu xấu quá, mới mua có mấy ngày và cũng đã báo cho điện máy xanh rồi mà không biết có đổi có đổi TV khác cho mình không","0"
"Đẹp, chất lượng","1"
"Rất ok","1"
"ok","1"
"Mình Thích cách bảo hành của DMX rất chu đáo. Chuyên nghiệp, sẽ tiếp tục ủng hộ","1"
"Oki hàng tốt","1"
"Sài ok","1"
"Mua hàng trưng bày bị mất khiển bù vào điền khiển đời cũ dùng khá ức chế. Tivi rút điện nguồn ra là auto mất tài khoản google. Muốn dùng thì lại phải đăng nhập lại rất ức chế. Không biết tivi bị lỗi gì nữa","0"
"Sản phẩm ok","1"
"Sài ok","1"
"Sài ổn định","1"
"Ti vi mới mua dc 1 ngày thì dã k kết nối giọng dc, gọi bh thì cho ng lên ng xuống rồi cũng k dc","0"
"Với giá này thì không thể mong đợi nhiều hơn, cơ bản ổn. Loa nghe không hay, màu sắc không tươi, so với Samsung","0"
"Mua onl đmx sẽ không được hỗ trợ lien khi sản pham bị lỗi, mình được kĩ thuật tư vấn nên mua trực tiếp tại cửa hàng sẽ được hỗ trợ nhanh khi sp bị lỗi","0"
"Rất ưng ý luôn","1"
"Ok","1"
"Sản phẩm rất tốt","1"
"Ok","1"
"Tốt","1"
"Tốt em","1"
"Tivi gia re hợp với người lao động sử dụng rất tốt,,","1"
"Ổn họp tui tiền","1"
"Mua hang bi lôi đôi tơi đôi lui mât thơi gian","0"
"Tivi sử dụng rất tốt","1"
"Sản phẩm dùng OK chất lượng tốt tôi rất hài lòng về sản phẩm","1"
"Xài ok cam ơn dmx","1"
"Hôm mua bạn xuống lắp đặt rất ok k bàn về nv. Cond về tivi cực kì kém có gọi tổng đài báo lỗi nv xuống coi r tổng đài gọi lại hẹn 3 ngày tới nay 67 ngày vẫn chưa ai xuống sửa rồi tui lại gọi tổng đài thì báo chờ tiếp tới 30/08 tivi mới mua tần suất xem 1 ngày chưa tới 3 tiếng mà h lỗi","0"
"Xài tạm ổn . Các app chạy hơi chậm","0"
"Mới mua hôm qua 23/6,trc mắt tg đối ổn. Hình ảnh sống động. Theo dõi thêm.","1"
"Rất tốt","1"
"Sản phẩm tốt","1"
"Ok","1"
"Hàng chất lượng giá cả cũng ok","1"
"Dùng ok","1"
"Chú ý có app ko tương thích như vtv go, cài vào sẽ bị lỗi ảnh chồng màn hình. Cài app tv360 thì ok.","1"
"Rất hài lòng","1"
"Mới mua, mọi thứ ok","1"
"Màu k ổn, loa hơi nhỏ.","1"
"","0"
"","0"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","0"
"","1"
"","1"
"","1"
"","1"
"","0"
"","1"
