"data","label"
"Đúng là tiền nào của đó, TV bật tắt rất chậm, remote dùng ngày thứ 2 thì ko điều khiển bằng giọng nói đc nữa, gọi lên tổng đài nhờ người xuống xem giúp, đã gọi 2 lần mà lần nào cũng hướng dẫn làm theo cũng ko đc, chán chả thèm gọi nữa, ngày càng thất vọng dịch vụ của điện máy xanh","0"
"TV mua sài mới được 2 tháng bị đơ màn hình rồi , phí tiền quá","0"
"Tivi lỗi dùng được mấy tuần đầu, dùng điều khiển mở nguồn không lên được, phải rút dây cắm lại mới lên, mỗi lầm khởi động thì rất lâu","0"
"Tới kiểm tra giúp, tivi ko sử dụng được","0"
"kết nối với iphone bằng cách nào vậy ad .","1"
"Điện máy xanh sadec đồng tháp giao hàng chậm","0"
"Báo lỗi từ lúc mới mua, kéo dài tới gần 1 tháng, hết ngừoi này tới ngừoi khác lại xem, r báo tivi k lỗi, bỏ tiền ra mua về k đáng.","0"
"Tivi bao OK luôn. Xem phim game rủng thả ga","1"
"Mua ti vi giống như mưa hàng chợ, nhận viên giao hàng không một tờ giấy lộn lưng.","0"
"Ok xài rất tốt","1"
"Tivi khá ổn với tầm giá","1"
"Bunh thường","0"
"Tivi ổn trong tầm giá, cảm ơn một người bạn đã tặng","1"
"Hình ảnh sắc nét..","1"
"Dùng tốt, giao hàng nhanh, chu đáo","1"
"Load rất chậm. Mở lên đợi rất lâu. Như kiểu dt hệ điều hành rất cũ. Thật bực kinh khủng. Sai lầm. TUYỆT ĐỐI KO NÊN MUA NHA MỌI NGƯỜI.","0"
"Sài êm nhe","1"
"Mới mua được 3 ngày thì Remote Không Điều Khiển Bằng Giọng nói được. Thỉnh thoảng xem Youtube bị đứng hình phải thoát ra bấm lại. Tổng đài hẹn hỗ trợ trước hôm nay không biết hỗ trợ đổi remote hay tư vấn bla bla. Tôi sẽ giới thiệu SP cho bạn bè người thân về những phiền toái này","0"
"Mới khui. Lỗi bấm remote k được. Chờ hãng ktra. Cuối cùng là phải chờ. Nãn","0"
"Rất ok","1"
"Tivi mới giao tự động tắt, rồi nhân viên xuống thì báo nói chờ nhà sản xuất, tôi mua ở dmx thì dmx phải có trách nhiệm 1 đổi 1 cho tôi, chứ toàn kiếm cớ để hết thời gian bảo hành. Rất tệ.","0"
"Xài được 2 tuần, cảm nhận tốt trong tầm giá","1"
"hàng chất lượng với tầm giá phù hợp để ko gian nhỏ như phòng ngủ, nhà trọ. chế độ góp linh hoạt dễ dàng sở hữu","1"
"Tivi lỗi nguồn gọi 2 lần chưa được xử lý thoả đáng. Mua cho người lớn rất khó sử dụng","0"
"Màn hình đẹp chức năng ok có cái mới mở lên loa bị rè chỉ xài bluetooth","1"
"Dùng tốt,","1"
"Tạm ổn, khởi động chậm","1"
"Tivi sắc nét , âm thanh to rõ , mình luôn tin tưởng và mua các sản phẩm ở điện máy xanh","1"
"Xài ok","1"
"Tốt","1"
"Ok","0"
"Tốt ạ","1"
"Tốt ak","1"
"Good","1"
"Tivi dùng tốt, hình ảnh nét, âm thanh trung thực","1"
"Tivi am thanh to, hình ảnh sắc nét","1"
"Rất tốt","1"
"Chức năng thì ok nhưng có điều bên bộ phận bảo hành, tôi mua tivi về đc 2 ngày thấy lỗi màn hình có điểm sáng, tôi đã liên hệ với bên ĐMX chờ 2 3 ngày có người xuống kiểm tra xong nói, này phải đợi hãng Xiaomi xuống xác nhận, hãng xuống kiểm tra xong rồi chưa cóa kết luận phải chờ đợi tiếp tới nay hơn 1 tuần rồi mà chưa giải quyết xong chi tôi, tôi mua ngày 16/03/2024, rồi trách nhiệm sẽ thuộc về ai Khi đùng đẩy kéo dài thời gian của khách hàng Rồi bên nào sẽ giải quyết đc cho tôi về cái tivi bị lỗi","0"
"Vùa mua 2 cái đợi giảm giá nhu cũ mua them 3 cái","1"
"Màu sắc đẹp. Có kết nói giọng nói. Và điều khiển trên đt cũng được. hợp túi tiền với những người lao động như mình","1"
"Mua chưa đc 1 tháng lỗi 2 lần, lần 1lỗi vọng nói, lần 2 điều khiển remote không đc phải rút nguồn rồi cấm lại. Mua chưa đc 1 tháng lỗi đổi không đc rồi nói phải đạt điều kiện này nọ. Mua đồ về để đc trải nghiệm bảo hành kaka hàng dỏm","0"
"Đẹp gọn nhẹ phù hợp không gian nhỏ","1"
"Dùng ok","1"
"Sản phẩm đầy đủ chức năng so với tầm giá","1"
"Tivi rất ok chất lượng chờ thêm thời gian,","1"
"Good","1"
"Sản phẩm tốt.","1"
"Tồt","1"
"Chỉ coi dk youtube , muốn coi các kênh vtv thì chịu , còn các thứ khác điều tốt tiền... Haizzz","0"
"Hình ảnh đẹp","1"
"Ok","1"
"Nên mua","1"
"Ti vi xài rất ok nhé. Âm thanh sống động. Hình ảnh sắc nét. Highly recommended","1"
"Hôm nay mới ráp một e tivi Xiaomi A 32 INCH L32M8P2SEA , NÓI CHUNG HÌNH ẢNH ÂM THANH RẤT RẤT OK , vừa túi tiền mà có cái tivi để xem cũng thích","1"
"Tốt","1"
"Đã sử dụng được hơn 1 tháng. Rất hài lòng. Hình ảnh rõ nét, âm thanh sóng động.","1"
"Hình ảnh, âm thanh chất lượng. Cấu hình, dụng lượng cao cùng hệ điều hành oke.","1"
"Thua tivi ko tới 7 ngày hư","0"
"Tuyệt vời trong tầm giá.độ bền chưa biết","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
