"data","label"
"Mới lắp ti vi xem quá ok so với tầm giá. Còn thời gian dài thì chưa biết","1"
"tivi hiện đang dùng tốt","1"
"ok, cũng tốt, tivi đẹp","1"
"MUA CHO VỢ DẠY HỌC","1"
"sài cũng tốt","1"
"chị mua cho mẹ, bữa giờ không thấy nói gì chắc là ok đó","1"
"tivi sài cũng được","1"
"sài cũng tốt","1"
"điều khiển dễ sài, nói chung cũng được","1"
"sài cũng tốt","1"
"âm thanh nghe rõ, đẹp, tốt","1"
"tivi sài cũng được","1"
"máy tốt màu đẹp","1"
"màu sắc tương đối tốt","1"
"tivi tốt, màn hình được ok","1"
"tivi hiện đang dùng tốt","1"
"màu với thiết kế ổn trong tầm tiền","1"
"dùng cũng ok nha","1"
"dùng ổn","1"
"tivi dùng cũng được, tạm ổn","1"
"tivi màu đẹp, âm thanh nghe rõ","1"
"mua tivi về thấy xài cũng được, nghe rõ to","1"
"CHỊ THẤY DÙNG ĐƯỢC","1"
"dùng ok","1"
"tivi dùng tốt, mà màu không đẹp lắm","1"
"tạm ổn","1"
"mình mua chủ yếu để xem camera, thấy tivi xem cũng nét, ok","1"
"sp ok","1"
"tivi hoạt động tốt, xài ok","1"
"màu tạm ổn với tầm giá","1"
"hài lòng","1"
"màu sắc đẹp","1"
"sp chất lượng,dùng ok","1"
"tivi mới mua hiện tại đang xem tốt, chưa có gì phát sinh","1"
"tivi xem cũng được, mình có giới thiệu cho người nhà","1"
"ok","1"
"sp ok","1"
"tivi hoạt động bình thường, xài tốt","1"
"tivi xài bình thường, không có vấn đề gì","1"
"máy load các chương trình hơi chậm tầm 57, còn lại thì ổn","1"
"tivi hoạt động bình thường, ok","1"
"tivi dùng bình thường","1"
"tivi tốt, màn hình đẹp, nói chung xài ok","1"
"máy dùng được, tốt","1"
"tivi tốt, màn hình được ok","1"
"tivi hoạt động tốt, đẹp","1"
"sản phẩm xài ok, tivi tốt","1"
"tivi hiện tại mình dùng thấy tốt, xài ok","1"
"tivi xài tốt, màu đẹp, màn hình ok","1"
"được, dùng tốt, không vấn đề gì","1"
"tivi đẹp, màn hình ok, âm thanh hay","1"
"tivi đẹp, xài ok, tivi không nét LG","1"
"tivi cũng được, xài ok","1"
"tivi xài tốt lắm, ok","1"
"âm thanh nghe rõ, màu tivi cũng đẹp, độ bền thì theo dõi thêm","1"
"tivi xài tốt","1"
"tivi sử dụng tốt, màn hình thấy ok, âm thanh nghe rõ","1"
"tivi xem đẹp, nghe rõ hay tốt.","1"
"tivi được, màn hình đẹp, xài rất ok","1"
"tốt, tivi chất lượng, điều khiển nhạy, mình có giới thiệu thêm cho người thân","1"
"tivi giá ổn định, mà khởi động lên rất chậm chờ trên 15s mới lên , nếu lên rồi thì bấm bình thường, ok","1"
"tivi hiện đang dùng tốt","1"
"tivi hoạt động tốt lắm, màn hình đẹp lắm","1"
"màu tivi đẹp , âm thanh hay","1"
"tivi sử dụng tốt, màn hình thấy ok","1"
"tivi chất lượng, hình ảnh âm thanh ok","1"
"tivi xài tốt, dùng ok","1"
"tivi tốt, màn hình được so với tầm giá, âm thanh hay","1"
"màn hình đẹp, âm thanh đẹp","1"
"sản phẩm xem đẹp, được, tốt","1"
"sản phẩm tốt, xài ok lắm","1"
"tivi hoạt động tốt, hình ảnh đẹp","1"
"tivi đẹp, hình ảnh sắc nét, âm thanh hay","1"
"tivi tốt, hình ảnh bình thường","1"
"tivi hoạt động tốt, xài tốt, rõ nét, đẹp lắm","1"
"tivi mẫu mã đẹp, hình ảnh đẹp","1"
"tivi rất tốt, âm thanh nghe rất hay","1"
"tivi mới mua về hiện tại thấy dùng tốt, sẽ theo dõi thêm","1"
"tivi xem tốt, nghe rõ, ok","1"
"tivi xem cũng được, màu bình thường, không có vấn đề gì","1"
"tivi xem nét, rất tốt","1"
"âm thanh nghe to rõ, tivi ok trong tầm giá, màu cũng được","1"
"âm thanh nghe rõ , hiện đang dùng tốt","1"
"màu sắc không được đẹp, còn lại ổn, điểu khiển nhạy, tốt","1"
"tivi cũng được, ok","1"
"tivi hiện đang dùng tốt","1"
"hiện tại thấy sài bình thường, rất tốt, không có vấn đề gì cả","1"
"tivi xem được, ổn với mức giá","1"
"tivi màu đẹp, âm thanh nghe rõ","1"
"VẪN ỔN","1"
"chưa có vấn đề, xem được, hy vọng sử dụng được lâu","1"
"tivi ổn, âm thanh rõ","1"
"màu sắc xem được, không có vấn đề gì","1"
"âm thanh nghe rõ, tốt.","1"
"màu được đẹp, âm thanh rõ","1"
"Dùng tốt, không vấn đề gì","1"
"ra xem tivi trải nghiệm ở dmx thấy đẹp nên mua, về nhà thấy tivi đẹp, hát karaoke hay","1"
"cũng được, chưa có vấn đề gì","1"
"tivi hiện đang dùng tốt","1"
"máy không có vấn đề gì","1"
"máy sài cũng được","1"
"tivi xem bình thường","1"
"OK","1"
"mạng lâu hơi yếu, để mình theo dõi thêm","1"
"","1"
