"data","label"
"Máy hay bị mất kết nối mạng wifiCó khi 1 ngày luôn k kết nối đượcTrog khi đt và các thiêt bị khác sử dụng wifi bình thuuong","0"
"Mình vừa mua hôm thứ 6, hôm nay phát hiện có một vùng tối trên màn hình thế này có được bảo hành không ạ","1"
"Tivi mình mua tháng 11/2022 ở dmx đến hôm qua thì trên màn hình xuất hiện 1 đường sọc, ko biết dmx có hổ trợ gửi hãng bảo hành ko.","0"
"Tivi dùng rất OK, có nhiều chức năng dễ sử dụng, giá tiền hợp lí","1"
"Ti vi chạy tốt","1"
"Màu sắc đẹp.hệ điều hành còn chậm .Sài ok ổn trong tầm giá","1"
"Ti vi đẹp, giá hợp lý, phục vụ nhiệt tình","1"
"Rất hài lòng","1"
"Hình ảnh đẹp, âm thanh hay","1"
"Tốt","1"
"Sp rất tốt","1"
"Sản phẩm ok","1"
"Âm thanh hay . Màn hình sắc nét . Màu đẹp","1"
"Tạm ổn","0"
"hình ảnh sắc nét, dễ sử dụng, nhiều tính năng còn độ bền thì phải sài 1 thời gian mới biết","1"
"Rất Tốt","1"
"Sản phẩm ổn nhưng mà lúc bị mất điện khi mở lên phải cài đặt lại thời gian ngày giờ mới sử dụng được các ứng dụng khác nên hơi mất thời gian","0"
"Mới mua 2 ngày giảm 500 vzi","0"
"ĐMX tự đổi giới tính khách hàng mà coi là VIP thì quan tâm gì vậy","0"
"Tốt","1"
"Rất tốt","1"
"Nv giao vs lắp rất nhiệt tình.","1"
"Tivi hoi chap","0"
"Tốt","1"
"rất tốt","1"
"Chạy mướt, âm thanh chuẩn, hình ảnh màu sắc đẹp, sử dụng đc 2 tuần ko có vấn đề gì về lỗi, đang yêu cầu update phiên bản nhưng chưa rảnh để làm","1"
"Tạm ổn","0"
"hình ảnh đẹp dịch vụ lắp đặt tốt","1"
"Màu sắc đẹp âm thanh hay.","1"
"Tôt","1"
"Manh mươt ro","1"
"Tốt","1"
"Hình ảnh rất đẹp sản phẩm tốt .rõ nét","1"
"Theo mình cảm nhận sau tầm 23 ngày thì TV có âm thanh hay bass sâu. Hình ảnh thì tốt nhờ có upscale lên 4k với làm mượt chuyển động từ AI màu sắc đẹp. Thiết kế đẹp. Mạng wifi ổn đỉnh không bị rớt sóng mạnh. Tốc độ khởi động và tắt cũng rất nhanh. Hệ điều hành giao diện dễ sử dụng không quá khó sài đối với mình do TV có kèm theo Magic Remote nên trải nghiệm của mình khác hẳn so với các TV khác nhiều. Nhưng mình thấy LG chưa quản lí đa nhiệm tốt nếu trong 1 lần mở TV mà mở nhiều ứng dụng chuyển qua chuyển lại thì TV rất hay bị giật hoặc còn bị đơ nữa mỗi lần vậy thì mình phải tắt TV mở lại thì sài mới mượt được đôi khi đơ ko tắt đc phải rút điện cắm lại hơi khó chịu nhưng mà nếu ai mua về sài cơ bản như để xem yt đồ thôi thì không cần phải lo vấn đề này. Tìm kiếm bằng giọng nói của LG thì cũng ổn mà đôi lúc tìm film trên netflix mà toàn ra youtube hay nói mở spotify mà nó toàn ra gì đâu k. Trong thông tin chi tiết ghi là Google Assistant chưa có tiếng việt nhưng thật ra là có hỗ trợ tiếng việt từ lâu rùi nha có cái do k phải android tv nên có 1 số thứ mình nói mà toàn ra gì lạ lắm. Nhận xét chung mình thấy khá tốt. Ai đang tìm kiếm 1 chiếc TV màu sắc đẹp âm thanh hay và to và hay để cày film hay mở nhạc thì nên chọn em này.","1"
"Ti vi ổn, sắc nét, âm thanh hay","1"
"Tot","1"
"Nhân viên siêu thị tư vấn rất nhiệt tình. Chu đáo. Bên lắp đặt rất nhiệt tình. Sp tốt","1"
"Rất hoài lòng","1"
"Hàng ok","1"
"Trước tiên thấy ổn ok","1"
"Hình ảnh đẹp, âm thanh tốt","1"
"Tuyệt","1"
"Tin dùng tv lg","1"
"Nhân viên tư vấn nhiệt tình, phục vụ chu đáo. Chất lượng đến nay ổn định.","1"
"Tivi xem đẹp và xem được nhiều chương trình. Ok","1"
"Tot","1"
"Rất tốt","1"
"Rất ok","1"
"sản phẩm tốt","1"
"Bán hàng nhiệt tình tốt","1"
"Rất tốt","1"
"Mh có đóm đen","0"
"Sản phẩm tốt,nhân viên nhiệt tình,thân thiện","1"
"các chuyển động hình ảnh (nhanh) trên màn hình bị nhiễu và gợn sóng, xem rất nhức mắt","0"
"Nhân viên chuyên nghiệp nhiệt tình","1"
"Tố","1"
"Tốt","1"
"Tốt","0"
"Ok sài được nha","1"
"sản phẩm tốt tôi rất hài lòng","1"
"Tivi tuyệt vời, hình ảnh rõ nét","1"
"Tivi sắc nét, âm thanh sống động. Đáng để mua","1"
"Hình ảnh rõ nét, âm thanh sống động, chất lượng hình ảnh đẹp.","1"
"Tivi rất ổn trong tầm giá","1"
"Tốt","1"
".","1"
"TiVi đẹp hình ảnh với âm thanh trải nghiệm tốt chất lượng 👌OK trong tầm giá ! Thanks Shop nhé !","1"
"Tôi đã chọn sản phẩm như mong muốn","1"
"Tốt","1"
"Mẫu mã đẹp. Loa nghe tốt. Hy vọng xài bền. Cám ơn ĐMX.","1"
"Trải nghiệm đáng tiền!","1"
"Chất lượng hình ảnh và âm thanh tuyệt vời. Xem nội dung netflix và youtube chất lượng cao rất đã. Hệ điều hành hơi lag nhẹ.","1"
"Ti vi sử dụng tốt","1"
"Rất tốt. Rất ok","1"
"Anh cảm thấy ti vi sài được","0"
"Âm thanh không rõ, rè, lúc to lúc nhỏ Điều khiển tivi còn chậm","0"
"Honhf ảnh rõ nét","1"
"","1"
"","1"
"","1"
"","1"
"","0"
"","1"
"","1"
"","0"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","0"
"","1"
"","1"
"","0"
"","1"
"","1"
"","1"
"","1"
"","0"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
"","1"
