"data","label"
"Moi mua tivi iDMX 8990 qua ngày hôm sau DMX bán 8190 phải chậm 1 ngày thì đỡ được 800k rồi. Thật không mai măn chức nào kể như lần này mình cúng răm tháng 7","0"
"Mình mua sp này đc 9 hôm giờ muốn đổi sang sp khác thì sao ạ.","0"
"Ti vi mới mua mà mỗi lần mở lên điều bị lỗi bắt kết nối lại mạng, mở lên lần nào cũng bị vậy hết","0"
"Tốt,nhưng tiếng hơi nhỏ phải chi tiếng TV lớn chút nữa là OK rồi","1"
"Màu sắc hình ảnh đẹp, mượt, thiết kế tv mỏng, mọi người nên tham khảo tv này","1"
"Tốt","1"
"Sài cung thay tot","1"
"Tivi hình ảnh sắc nét chân thật sử dụng tốtNv lắp đặt nhiệt tình thân thiện vui vẻ","1"
"Hình ảnh đẹp, sắc nét, âm thanh tạm ổn, nv tư vấn nhiệt tình, giao hàng nhanh, rất hài lòng","1"
"Hình ảnh chân thật sắc nét. Rất tốt","1"
"kết nối Wifi rất tệ, mỗi lần mở TV phải sửa lỗi gỡ rối kết nối Wifi kết nối lại Wifi","0"
"Tốt ạ","1"
"ok tốt đáng mua","1"
"Nhân viên giao hàng, lắp đặt rất nhiệt tình, thân thiện.","1"
"Mjh đã sd tivi hiệu này rồi , và bây giờ mua thêm vẫn thích sd hiệu này, nói chung rất ok","1"
"Rất hài lòng 😀","1"
"Rất vui khi mua sản phẩm này.hợp với túi tiền người lao động","1"
"","1"
"","1"
"","1"
"","0"
