"data","label"
"Trên cả tuyệt vời","1"
"Tv qled màu sắc miễn chê, âm thanh thì thôi r luôn như trong rạp phim á.quá đã","1"
"Màu sắc hình ảnh nét âm thanh vòm khá hay tầm trung ss qled quá ok r","1"
"Màu sắc hình ảnh nét, âm thanh tốt. Tầm trung Qled SamSUng vẫn Ok nhất rồi.","1"
"Tuyệt vời","1"
"Mua về nhân viên chỉ lắp đặt TV, ngoài ra ko hỗ trợ kết nối TV vào các thiết bị khác như amply, cáp,.. chỉ cần kết nối dây gắn vào TV cũng ko đc luôn nha, lúc mua thì nhân viên tư vấn nhiệt tình, mua xong gọi nhờ hỗ trợ thì nói cty ko hỗ trợ, bảo gọi thợ ngoài. Làm ăn ko có tâm, Tận Tâm chổ nào","0"
"màu đẹp, âm thanh hay","1"
"hình ảnh đẹp, âm thanh hay","1"
"tivi tốt","1"
"tivi sử dụng ok","1"
"tivi sử dụng tốt","1"
"âm thanh hay, tốt","1"
"tivi mượt, tốt","1"
"tivi sử dụng tốt","1"
"màu sắc đẹp, êm","1"
"tivi tốt","1"
"âm thanh hay, hình ảnh rõ nét","1"
"tivi sử dụng tốt","1"
"tivi tốt","1"
"hình ảnh đẹp, âm thanh hay","1"
"tivi ok","1"
"âm thanh nghe hay, màn hình sắc nét","1"
"tivi sử dụng tốt","1"
"màn hình sáng, đẹp","1"
"tivi tốt, âm thanh hay, nét","1"
"tivi đạt tiêu chuẩn","1"
"tivi ok","1"
"tivi tốt, remote xịn","1"
"âm thanh rõ, hình ảnh sắc nét","1"
"tivi tốt","1"
"âm thanh hay, hình ảnh đẹp","1"
"hình ảnh đẹp","1"
"tivi tốt","1"
"sản phẩm ok","1"
"hình ảnh đẹp, rõ nét","1"
"tivi rõ nét","1"
"Ad chỉ cách tải apps với, mẫu này hk thấy chỗ apps","1"
"Lần đầu mua máy lọc nướcLần hai mua ti vi thật sự rất khó chịu.1. Tư vấn online qua zalo không tốt, lừa khách hàng đặt đơn.2. Giao tivi ko đủ quà khuyến mại, khách báo tổng đài thì kĩ thuật ko qua hỗ trợ, hẹn lại giờ khácTrải nghiệm mua hàng quá tệ","0"
"xem phim giải trí rất sắc nét ko có ghì để chê","1"
"","0"
"","1"
"","1"
